"cislo_prihlasky";"odkud_uchazec_prihlasen_kod";"prihlaska_kod";"studium_id";"rozhodnuti_kod";"obor_ss_kod";"ss_izo";"ss_typ";"ss_predmet1";"ss_predmet2";"ss_predmet3";"ss_predmet4";"ss_predmet5";"ss_predmet1_znamky";"ss_predmet2_znamky";"ss_predmet3_znamky";"ss_predmet4_znamky";"ss_predmet5_znamky";"ss_predmet1_prumer";"ss_predmet2_prumer";"ss_predmet3_prumer";"ss_predmet4_prumer";"ss_predmet5_prumer";"ss_prumer_prumeru";"ss_prumer_znamek";"bakalar_prumer";"predchozi_studium";"doplnujici_udaj1";"doplnujici_udaj2";"doplnujici_udaj3";"doplnujici_udaj4";"typ_prihlasky";"maturita_znamky";"maturita_prumer";"maturita_predmety";"maturita_rok";"cislo_mistnosti_pz";"datum_pz";"prominuti_pz";"hodnoceni_pz";"hodnoceni_pz_cast1";"hodnoceni_pz_cast2";"hodnoceni_pz_cast3";"hodnoceni_pz_cast4";"hodnoceni_pz_cast5";"hodnoceni_pz_cast6";"hodnoceni_pz_cast7";"hodnoceni_pz_cast8";"hodnoceni_pz_cast9";"hodnoceni_pz_cast10";"hodnoceni_pz_cast11";"hodnoceni_pz_cast12";"zapsal_ke_studiu";"status";"stipendium";"stipendium_cizi";"kolej_zadost";"termin";"prechodne";"studijni_skupina";"nove_prijaty";"navazujici_stud_program";"trvaly_pobyt_v_cr";"financovani";"stupen_predchoziho_vzdelani";"pz1_datum";"pz1_cas";"pz1_mistnost";"pz2_datum";"pz2_cas";"pz2_mistnost";"pz3_datum";"pz3_cas";"pz3_mistnost";"pisemny_test";"anketa_odkud_kod";"anketa_odkud_poznamka";"cislo_uchazece";"scio_test";"olympiady";"postizeni_kod";"postizeni_poznamka";"placeno_r";"placeno_poznamka";"placeno_mail";"staz_stat";"staz_poznamka";"maturita_uroven";"zajem";"zprava_pro_uchazece";"priorita";"datum_registrace";"datum_rozhodnuti";"misto_kod";"okres_kod";"zeme_kod";"psc"
"1993";"";"4474756512";"16894406";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"";"A";"69";"T";"";"";"";"";"";"";"";"";"";"";"";"";"2747701";"";"";"";"";"";"";"";"";"";"";"";"";"";"2019-08-26";"2019-08-26";"";"";"";"14000"
"1992";"";"2190115812";"16894506";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"2014";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"69";"K";"";"";"";"";"";"";"";"";"";"";"";"";"2747690";"";"";"";"";"";"";"";"";"";"";"";"";"";"2019-08-26";"2019-08-26";"";"3100";"3100";"18000"
"1994";"";"4457596412";"16908906";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"1999";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"69";"T";"";"";"";"";"";"";"";"";"";"";"";"";"2748493";"";"";"";"";"";"";"";"";"";"";"";"";"";"2019-08-28";"2019-08-28";"Praha";"3100";"3100";"19800"
"1995";"";"7125989612";"16909006";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"2005";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"69";"K";"";"";"";"";"";"";"";"";"";"";"";"";"2748504";"";"";"";"";"";"";"";"";"";"";"";"";"";"2019-08-28";"2019-08-28";"";"3807";"3807";"70030"
"1996";"";"2225003512";"16909106";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"";"";"69";"T";"";"";"";"";"";"";"";"";"";"";"";"";"2748526";"";"";"";"";"";"";"";"";"";"";"";"";"";"2019-08-28";"2019-08-28";"";"";"";"19000"
"171";"7";"78582099";"16964806";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fakulta informačních technologií ČVUT v Praze Bakalářský program Informatika - Počítačové inženýrství (3.7.2014 - 21.6.2017) Bc.

Fakulta informačních technologií ČVUT v Praze Magisterský program Informatika - Návrh a programování vestavných systémů (20.9.2017 - Nyní)";"";"";"";"";"PD";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"";"A";"1";"T";"";"";"";"";"";"";"";"";"";"";"";"";"2726141";"";"";"";"";"";"";"";"";"";"";"";"";"";"2019-05-21";"2019-06-17";"Praha";"3100";"3100";"16900"
"164";"7";"77993489";"16964906";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"České vysoké učení technické v Praze, Fakulta informačních technologií, navazující magisterský studijní program Informatika, obor Návrh a programování vestavných systémů, 2017-2019";"";"";"";"";"PD";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"";"A";"1";"T";"";"";"";"";"";"";"";"";"";"";"";"";"2724392";"";"";"";"";"";"";"";"";"";"";"";"";"";"2019-05-13";"2019-06-17";"Benešov";"3201";"3201";"25601"
"168";"7";"63820682";"16990806";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Dokončeno:
Škola: České vysoké učení technické v Praze,
Fakulta: Fakulta informačních technologií,
Studijní program: Informatika,
Obor: Teoretická informatika,
Zahájení: 2014-07-03,
Ukončení: 2017-06-26,
Udělený titul: Bc.

Probíhající:
Škola: České vysoké učení technické v Praze,
Fakulta: Fakulta informačních technologií,
Studijní program: Informatika,
Obor: Systémové programování,
Zaměření: Teoretická informatika,
Zahájení: 2017-06-30.";"";"";"";"";"PD";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"";"A";"1";"T";"";"";"";"";"";"";"";"";"";"";"";"";"2725327";"";"";"";"";"";"";"";"";"";"";"";"";"";"2019-05-17";"2019-06-17";"Praha";"3100";"3100";"14000"
"165";"7";"84999610";"17002406";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"FIT ČVUT, magisterské studium, 2016 - 2019, obor Webové a softwarové inženýrství, zaměření Softwarové inženýrství, získaný titul Ing.
FIT ČVUT, bakalářské studium, 2013 - 2016, obor Softwarové inženýrství, získaný titul Bc.
FSV UK, bakalářské studium, 2011-2015, obor Ekonomické teorie, získaný titul Bc.";"";"";"";"";"PD";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"";"A";"1";"T";"";"";"";"";"";"";"";"";"";"";"";"";"2724975";"";"";"";"";"";"";"";"";"";"";"";"";"";"2019-05-14";"2019-06-17";"Opočno";"3607";"3607";"51773"
"1997";"";"5435969912";"17010106";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"2000";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"69";"L";"";"";"";"";"";"";"";"";"";"";"";"";"2750880";"";"";"";"";"";"";"";"";"";"";"";"";"";"2019-09-02";"2019-09-02";"Milevsko";"3305";"3305";"39901"
