"predmet_id";"kod_predmetu";"nazev_predmetu";"pocet_kreditu";"typ_predmetu";"forma_studia";"uroven_studia";"zpusob_zakonceni";"jazyk_vyuky"
"6548906";"BIE-KAB.21";"Cryptography and Security";"5";"P";"P";"B";"Z,ZK";"EN"
"6626006";"NIE-KRY";"Advanced Cryptology";"5";"PO";"P";"M";"Z,ZK";"EN"
"6548806";"BIK-KAB.21";"Kryptografie a bezpečnost";"5";"P";"K";"B";"Z,ZK";"CS"
"6557506";"BI-TAB.21";"Technologické aplikace bezpečnosti";"5";"PO;V;";"P";"B;";"Z,ZK";"CS"
"6559506";"BI-ASB.21";"Aplikovaná síťová bezpečnost";"5";"PO;";"P";"B;";"Z,ZK";"CS"
"6706106";"BIE-HWB.21";"Hardware Security";"5";"PO;";"P";"B;";"Z,ZK";"EN"
"6557706";"BIE-TAB.21";"Applications of Security in Technology";"5";"PO;";"P";"B;";"Z,ZK";"EN"
"6549706";"BIE-UKB.21";"Introduction to Cybersecurity";"5";"PZ;";"P";"B;";"Z,ZK";"EN"
"6559806";"BI-ZSB.21";"Základy systémové bezpečnosti";"5";"PO;";"P";"B;";"Z,ZK";"CS"
"6549506";"BI-UKB.21";"Úvod do kybernetické bezpečnosti";"5";"PZ;";"P";"B;";"Z,ZK";"CS"
"6702706";"BI-EHA.21";"Etické hackování";"5";"PO;PV;";"P";"B";"Z,ZK";"CS"
"6702806";"BI-BEK.21";"Bezpečný kód";"5";"PO;PV;";"P";"B;";"Z,ZK";"CS"
"6705806";"BIK-BEK.21";"Bezpečný kód";"5";"PO;PV;";"K";"B;";"Z,ZK";"CS"
"6705906";"BIE-BEK.21";"Secure Code";"5";"PO;PV;";"P";"B;";"Z,ZK";"EN"
"6706006";"BIK-HWB.21";"Hardwarová bezpečnost";"5";"PO;";"K";"B;";"Z,ZK";"CS"
"6549606";"BIK-UKB.21";"Úvod do kybernetické bezpečnosti";"5";"PZ;";"K";"B;";"Z,ZK";"CS"
"6559606";"BIK-ASB.21";"Aplikovaná síťová bezpečnost";"5";"PO;";"K";"B;";"Z,ZK";"CS"
"6562506";"BIE-EHA.21";"Ethical Hacking";"5";"PO;V";"P";"B";"Z,ZK";"EN"
"6560006";"BIE-ZSB.21";"Basics of System Security";"5";"PO;";"P";"B;";"Z,ZK";"EN"
"6703306";"BI-HWB.21";"Hardwarová bezpečnost";"5";"PO;";"P";"B;";"Z,ZK";"CS"
"3459606";"BI-HWB";"Hardwarová bezpečnost";"5";"PO;";"P";"B;";"Z,ZK";"CS"
"6624806";"NIE-SBF";"System Security and Forensics";"5";"PO;";"P";"M;";"Z,ZK";"EN"
"6559906";"BIK-ZSB.21";"Základy systémové bezpečnosti";"5";"PO;";"K";"B;";"Z,ZK";"CS"
"6813906";"NIE-BLO";"Blockchain";"5";"V;";"P";"M;";"Z,ZK";"EN"
