"statni_zkouska_id";"zaverecna_prace_id";"studium_id";"cislo_terminu";"typ_szzk";"uzavreno";"datum_prihlaseni";"datum_absolvovani";"celkove_hodnoceni";"poznamka"
"587864091805";"";"6268206";"1";"SZZ";"";"";"";"";""
"587865423805";"615301625305";"6268706";"1";"SZZ";"A";"2016-01-12";"2016-02-09";"1";""
"587865423905";"618607466705";"6268806";"1";"SZZ";"A";"2015-05-20";"2015-06-24";"2";""
"587865424005";"624366661905";"6269306";"1";"SZZ";"A";"2016-05-10";"2016-06-23";"2";""
"587865424105";"";"6269406";"1";"SZZ";"";"";"";"";""
"587865424205";"799930607905";"6269706";"1";"SZZ";"";"2017-01-10";"2017-02-08";"2";""
"587865424305";"712762124705";"6269806";"1";"SZZ";"A";"2016-05-10";"2016-06-28";"1.5";""
"587865424405";"626569165105";"6270106";"1";"SZZ";"A";"2015-05-20";"2015-06-24";"1.5";""
"587865424505";"731576045805";"6270206";"1";"SZZ";"";"2017-01-06";"2017-02-08";"2";""
"587865424605";"927974408605";"6270406";"1";"SZZ";"";"2018-05-15";"";"4";""
"587865424705";"";"6270706";"1";"SZZ";"";"";"";"";""
"587864092105";"";"6270906";"1";"SZZ";"";"";"";"";""
"587865426805";"631733337005";"6271406";"1";"SZZ";"A";"2015-05-20";"2015-06-22";"1.5";""
"587865426905";"";"6271706";"1";"SZZ";"";"";"";"";""
"587865427005";"625094124905";"6271806";"1";"SZZ";"";"2017-05-14";"";"4";""
"587865427105";"828707215505";"6272206";"1";"SZZ";"";"";"";"";""
"587865427205";"";"6272506";"1";"SZZ";"";"";"";"";""
"673471301205";"620283807305";"6273206";"2";"SZZ";"A";"2016-06-12";"2015-06-24";"1.5";""
"587865427305";"620283807305";"6273206";"1";"SZZ1";"A";"2015-05-20";"2015-06-24";"4";""
"587865427405";"";"6273306";"1";"SZZ";"";"";"";"";""
"587865429305";"";"6273606";"1";"SZZ";"";"";"";"";""
"765360969405";"727445576005";"6274006";"2";"SZZ";"A";"2016-07-18";"2016-08-30";"2.5";""
"587865429405";"727445576005";"6274006";"1";"SZZ1";"A";"2016-05-11";"2016-06-29";"4";""
"587865429505";"";"6274606";"1";"SZZ";"";"";"";"";""
"587865429605";"";"6274906";"1";"SZZ";"";"";"";"";""
"587865429705";"602736628005";"6275406";"1";"SZZ";"A";"2015-05-20";"2015-06-24";"1.5";""
"587865378705";"723030012705";"6276006";"1";"SZZ";"A";"2016-05-09";"2016-06-21";"1.5";""
"587865378805";"613896563105";"6276206";"1";"SZZ";"A";"2015-05-20";"2015-06-22";"1.5";""
"587865378905";"632715362805";"6276406";"1";"SZZ";"A";"2015-05-20";"2015-06-17";"1";""
"674800831305";"613434219805";"6276806";"2";"SZZ";"A";"2015-08-04";"2015-08-31";"4";""
"587865379005";"613434219805";"6276806";"1";"SZZ1";"A";"2015-05-20";"2015-06-22";"4";""
"587865379105";"";"6276906";"1";"SZZ";"";"";"";"";""
"587865380805";"634193643805";"6277206";"1";"SZZ";"A";"2015-05-20";"2015-06-18";"2";""
"587865380905";"712013765305";"6277306";"1";"SZZ";"A";"2016-05-16";"2016-06-28";"2";""
"587865381005";"698175643605";"6277806";"1";"SZZ";"A";"2016-05-12";"2016-06-29";"2";""
"587865381105";"630257829005";"6277906";"1";"SZZ1";"A";"2015-05-20";"2015-06-18";"4";""
"674800851105";"630257829005";"6277906";"2";"SZZ";"A";"2015-08-04";"2015-08-31";"2";""
"587865381205";"705137661805";"6278006";"1";"SZZ1";"A";"2016-05-05";"2016-06-28";"4";""
"765083268405";"705137661805";"6278006";"2";"SZZ";"A";"2016-08-01";"2016-08-30";"2";""
"587865381305";"605391716605";"6278106";"1";"SZZ";"A";"2015-05-20";"2015-06-18";"1";""
"587865381405";"605153396005";"6278306";"1";"SZZ";"A";"2015-05-20";"2015-06-17";"2";""
"587865381505";"722247306005";"6278406";"1";"SZZ";"A";"2016-05-05";"2016-06-22";"2";""
"587865384105";"623874807605";"6279506";"1";"SZZ";"A";"2016-04-20";"2016-06-21";"2.5";""
"587865384205";"631733371605";"6279606";"1";"SZZ";"A";"2015-05-20";"2015-06-16";"1";""
"587865384305";"712762266105";"6279706";"1";"SZZ";"A";"2016-05-09";"2016-06-23";"1";""
"587865384405";"725620696405";"6279906";"1";"SZZ";"A";"2016-04-27";"2016-06-27";"2.5";""
"587865384505";"";"6280006";"1";"SZZ";"";"";"";"";""
"587865404605";"";"6280506";"1";"SZZ";"";"";"";"";""
"587865404705";"615067210805";"6280906";"1";"SZZ";"A";"2015-05-20";"2015-06-24";"1.5";""
"587865404805";"612260910605";"6281006";"1";"SZZ";"";"";"";"";""
"587865408405";"630747425805";"6281506";"1";"SZZ";"";"";"";"";""
"587865408505";"701962623805";"6281606";"1";"SZZ";"A";"2016-04-21";"2016-06-21";"1";""
"587865408605";"726663443505";"6281906";"1";"SZZ";"A";"2016-05-12";"2016-06-27";"1.5";""
"587865408705";"";"6282206";"1";"SZZ";"";"";"";"";""
"587865411905";"636151051705";"6282406";"1";"SZZ";"A";"2016-05-12";"2016-06-28";"1.5";""
"587865412005";"";"6282506";"1";"SZZ";"";"";"";"";""
"587865412105";"";"6282806";"1";"SZZ";"";"";"";"";""
"587865412205";"627801323505";"6282906";"1";"SZZ";"A";"2015-05-20";"2015-06-17";"1";""
"587865412305";"603705707705";"6283006";"1";"SZZ";"A";"2015-05-20";"2015-06-23";"1";""
"587865412405";"";"6283206";"1";"SZZ";"";"";"";"";""
"587865412505";"722771167005";"6283406";"1";"SZZ";"A";"2016-04-21";"2016-06-29";"2";""
"587865412605";"618608330105";"6283506";"1";"SZZ";"A";"2015-05-20";"2015-06-24";"1";""
