"studium_id";"typ_programu";"forma_studia";"datum_zahajeni";"datum_ukonceni";"rocnik";"studijni_stav";"studuje";"zamereni_id";"fakulta_id";"nazev_fakulty";"jazyk_vyuky";"ukonceni_zpusob";"platby_stav";"pruchod";"rok_maturity";"odkud_skola_kod"
"5491206";"B";"K";"2011-09-05";"2011-11-23";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2003-01-01";"043784054"
"5496406";"B";"P";"2011-09-05";"2013-02-11";"2";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"000068781"
"5525906";"B";"P";"2011-09-05";"2013-06-11";"2";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"013583492"
"5510706";"B";"P";"2011-09-05";"2012-03-19";"1";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2011-01-01";"060650443"
"5523606";"B";"P";"2011-09-05";"2012-02-22";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"000081990"
"5494106";"B";"K";"2011-09-05";"2012-04-10";"1";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"3";"";"1999-01-01";"000478423"
"5507806";"B";"P";"2011-09-05";"2014-06-17";"3";"17";"K";"";"10";"Fakulta informačních technologií";"CS";"01";"0";"";"2011-01-01";"000068926"
"5493806";"B";"K";"2011-09-05";"2012-04-10";"1";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"3";"";"2006-01-01";"049778102"
"5522106";"B";"P";"2011-09-05";"2013-06-24";"2";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2010-01-01";"999999999"
"5525706";"B";"P";"2011-09-05";"2012-02-29";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2010-01-01";"000335479"
"5512506";"B";"P";"2011-09-05";"2015-08-31";"5";"17";"K";"";"10";"Fakulta informačních technologií";"CS";"01";"0";"";"2011-01-01";"000076970"
"5509706";"B";"P";"2011-09-05";"2012-03-19";"1";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2011-01-01";"108001288"
"5505806";"B";"P";"2011-09-05";"2013-10-09";"3";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"061386022"
"5512306";"B";"P";"2011-09-05";"2015-06-24";"4";"17";"K";"";"10";"Fakulta informačních technologií";"CS";"01";"0";"";"2011-01-01";"110250591"
"5492206";"B";"K";"2011-09-05";"2012-03-20";"1";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2007-01-01";"000638412"
"5506106";"B";"P";"2011-09-05";"2012-02-10";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2006-01-01";"047608960"
"5497506";"B";"P";"2011-09-05";"2013-03-08";"2";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2009-01-01";"102007926"
"5505606";"B";"P";"2011-09-05";"2013-09-04";"3";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2010-01-01";"000601497"
"5491906";"B";"K";"2011-09-05";"2012-03-19";"1";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2001-01-01";"102943516"
"5495706";"B";"P";"2011-09-05";"2012-09-03";"2";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"060103329"
"5509106";"B";"P";"2011-09-05";"2012-03-29";"1";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2008-01-01";"047558407"
"5506506";"B";"P";"2011-09-05";"2014-06-18";"3";"17";"K";"";"10";"Fakulta informačních technologií";"CS";"01";"0";"";"2011-01-01";"049774301"
"5506206";"B";"P";"2011-09-05";"2011-10-31";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"000638374"
"5510006";"B";"P";"2011-09-05";"2013-06-27";"2";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"107850427"
"5510406";"B";"P";"2011-09-05";"2012-02-07";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"061357235"
"5492606";"B";"K";"2011-09-05";"2012-03-19";"1";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"1999-01-01";"000077127"
"5508606";"B";"P";"2011-09-05";"2012-09-14";"2";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"061388866"
"5523906";"B";"P";"2011-09-05";"2012-02-06";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2010-01-01";"000601501"
"5495006";"B";"P";"2011-09-05";"2012-10-29";"2";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2011-01-01";"999999999"
"5491606";"B";"K";"2011-09-05";"2013-01-22";"2";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2005-01-01";"014451069"
"5599706";"B";"P";"2011-09-05";"2013-09-18";"3";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2009-01-01";"061357031"
"5492306";"B";"K";"2011-09-05";"2012-03-19";"1";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2005-01-01";"000601764"
"5511006";"B";"P";"2011-09-05";"2014-06-17";"3";"17";"K";"";"10";"Fakulta informačních technologií";"CS";"01";"0";"";"2007-01-01";"061388726"
"5523706";"B";"P";"2011-09-05";"2014-08-26";"3";"17";"K";"";"10";"Fakulta informačních technologií";"CS";"01";"0";"";"2011-01-01";"061385476"
"5494606";"B";"K";"2011-09-05";"2013-06-19";"2";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2008-01-01";"108001491"
"5520406";"B";"K";"2011-09-05";"2012-08-08";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"3";"";"2007-01-01";"000081922"
"5492406";"B";"K";"2011-09-05";"2012-02-06";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2004-01-01";"000068969"
"5496306";"B";"P";"2011-09-05";"2013-02-07";"2";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"102789207"
"5505206";"B";"P";"2011-09-05";"2014-06-17";"3";"17";"K";"";"10";"Fakulta informačních technologií";"CS";"01";"0";"";"2011-01-01";"000638323"
"5507306";"B";"P";"2011-09-05";"2012-03-19";"1";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2011-01-01";"061386855"
"5505506";"B";"P";"2011-09-05";"2012-02-10";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"060061863"
"5491306";"B";"K";"2011-09-05";"2012-10-15";"2";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2003-01-01";"000638404"
"5512806";"B";"P";"2011-09-05";"2012-10-23";"2";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2010-01-01";"110036514"
"5504806";"B";"K";"2011-09-05";"2013-10-15";"3";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2011-01-01";"011021420"
"5508306";"B";"P";"2011-09-05";"2012-02-08";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"000087297"
"5507906";"B";"P";"2011-09-05";"2014-01-08";"3";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"000087297"
"5493906";"B";"K";"2011-09-05";"2012-10-18";"2";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2006-01-01";"110200403"
"5494306";"B";"K";"2011-09-05";"2013-09-06";"3";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"1990-01-01";"666666666"
"5513806";"B";"P";"2011-09-05";"2014-06-23";"3";"17";"K";"";"10";"Fakulta informačních technologií";"CS";"01";"0";"";"2011-01-01";"130001660"
"5510606";"B";"P";"2011-09-05";"2012-10-19";"2";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2009-01-01";"999999999"
"5493106";"B";"K";"2011-09-05";"2012-03-19";"1";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2007-01-01";"000380431"
"5508906";"B";"P";"2011-09-05";"2013-02-13";"2";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"049774301"
"5490906";"B";"K";"2011-09-05";"2012-02-22";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2009-01-01";"049752391"
"5491506";"B";"K";"2011-09-05";"2013-03-12";"2";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2008-01-01";"000638421"
"5505706";"B";"P";"2011-09-05";"2013-06-27";"3";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"130002097"
"5494906";"B";"P";"2011-09-05";"2013-08-26";"3";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"000601799"
"5506306";"B";"P";"2011-09-05";"2015-06-16";"4";"17";"K";"";"10";"Fakulta informačních technologií";"CS";"01";"0";"";"2011-01-01";"061385701"
"5507006";"B";"P";"2011-09-05";"2012-02-16";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"999999999"
"5511306";"B";"P";"2011-09-05";"2012-06-28";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"007820186"
"5724106";"B";"P";"2011-09-14";"2015-06-23";"4";"17";"K";"";"10";"Fakulta informačních technologií";"CS";"01";"3";"";"2009-01-01";""
"5491706";"B";"K";"2011-09-05";"2012-06-19";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"3";"";"2004-01-01";"999999999"
"5708906";"B";"P";"2011-09-12";"2012-03-29";"1";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2011-01-01";"049232886"
"5496606";"B";"P";"2011-09-05";"2012-02-13";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"000638412"
"5512406";"B";"P";"2011-09-05";"2012-06-28";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"110025814"
"5508506";"B";"P";"2011-09-05";"2013-10-11";"3";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"041900995"
"5510506";"B";"P";"2011-09-05";"2015-06-22";"4";"17";"K";"";"10";"Fakulta informačních technologií";"CS";"01";"0";"";"2011-01-01";"000076970"
"5492806";"B";"K";"2011-09-05";"2011-09-06";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2005-01-01";"108054071"
"5492506";"B";"K";"2011-09-05";"2013-09-27";"3";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"3";"";"2006-01-01";"000602132"
"5497606";"B";"P";"2011-09-05";"2015-06-24";"4";"17";"K";"";"10";"Fakulta informačních technologií";"CS";"01";"0";"";"2011-01-01";"102256012"
"5494506";"B";"K";"2011-09-05";"2013-03-08";"2";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"3";"";"1999-01-01";"999999999"
"5504706";"B";"P";"2011-09-05";"2012-10-25";"2";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2011-01-01";"048161217"
"5712106";"B";"P";"2011-09-19";"2012-09-19";"2";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2009-01-01";""
"5509306";"B";"P";"2011-09-05";"2012-10-19";"2";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2011-01-01";"102454302"
"5508406";"B";"P";"2011-09-05";"2013-02-06";"2";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2010-01-01";"999999999"
"5498706";"B";"P";"2011-09-05";"2012-10-16";"2";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2011-01-01";"110036816"
"5498306";"B";"P";"2011-09-05";"2012-02-15";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"000602132"
"5498006";"B";"P";"2011-09-05";"2011-12-22";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2006-01-01";"999999999"
"5498806";"B";"P";"2011-09-05";"2016-07-13";"6";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"3";"";"2011-01-01";"000638421"
"5500306";"B";"P";"2011-09-05";"2012-11-08";"2";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2007-01-01";"999999999"
