studium_id,pohlavi_kod,je_cech,datum_zahajeni,rok_maturity,maturita_nastup_rozdil,gymnazium,praha,scio,olym,zkouska,prominuti,dostudoval_uspesne,BI-PA1,BI-PAI,BI-CAO,BI-PS1,BI-MLO,BI-ZMA,BI-PA2,BI-DBS,BI-SAP,BI-LIN,BI-AG1,BI-AAG,BI-ZDM,BI-OSY,BI-PSI,BI-BEZ,BI-PST,BI-DPR,BI-SI1.2,BI-EMP
1573006,0,1,2009,2008,1,0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1573306,0,1,2009,2009,0,0,1,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
4049706,0,1,2010,2009,1,0,1,0,0,0,0,0,3.0,2.5,3.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1573406,0,0,2009,2008,1,0,2,0,0,0,0,0,3.0,1.0,2.5,4.0,2.0,4.0,4.0,4.0,2.0,4.0,,4.0,4.0,4.0,,,,,,
1573506,0,1,2009,2009,0,0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1573606,1,0,2009,2009,0,2,2,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1573706,0,0,2009,2008,1,2,2,0,0,0,0,1,1.5,3.0,1.5,2.5,1.5,2.5,2.0,1.5,3.0,3.0,,1.5,2.5,3.0,3.0,1.5,2.0,2.0,2.0,2.5
1573806,0,1,2009,2009,0,0,0,0,0,0,0,1,1.0,2.0,1.5,2.0,3.0,3.0,1.0,1.5,3.0,3.0,,3.0,3.0,1.5,2.0,2.5,1.5,1.5,1.5,2.5
1573906,0,1,2009,2009,0,1,0,0,0,0,0,0,2.0,2.0,1.0,2.5,2.5,1.5,,,,,,,,,,,,,,
1574006,0,1,2009,2009,0,1,1,0,0,0,0,1,1.0,1.5,1.5,3.0,2.5,3.0,2.5,1.0,3.0,2.5,,2.0,2.5,3.0,2.0,3.0,2.0,1.5,1.5,2.5
1574106,0,1,2009,2009,0,0,0,0,0,0,0,0,1.0,3.0,1.5,2.5,2.0,4.0,4.0,,4.0,4.0,,,,4.0,,,,,,
1574206,1,1,2009,2009,0,0,0,0,0,0,0,1,2.0,1.0,1.5,2.0,1.5,2.5,3.0,2.0,1.5,3.0,,1.5,2.5,2.5,3.0,2.5,1.5,1.5,1.5,3.0
1574306,0,1,2009,2009,0,0,1,0,0,0,0,0,4.0,2.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1574506,0,1,2009,2008,1,1,0,0,0,0,0,1,1.0,1.5,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,,1.0,1.0,1.0,1.0,1.5,1.0,1.5,1.5,1.0
1574606,0,1,2009,2009,0,1,1,0,0,0,0,1,1.0,1.5,1.5,2.0,1.5,1.5,1.0,3.0,2.5,1.0,,2.0,2.0,2.5,1.5,1.5,1.5,1.5,1.5,3.0
1574706,0,1,2009,2009,0,1,1,0,0,0,0,1,2.0,2.5,1.0,2.0,1.0,2.5,1.5,1.5,1.0,2.5,,2.0,2.0,1.5,2.0,2.5,1.5,1.5,2.0,3.0
1574806,0,1,2009,2009,0,0,0,0,0,0,0,0,2.5,3.0,1.5,3.0,2.5,3.0,2.5,2.5,2.5,4.0,,3.0,3.0,3.0,4.0,4.0,2.5,,2.0,4.0
