studium_id,BI-PA1,BI-PAI,BI-CAO,BI-PS1,BI-MLO,BI-ZMA,BI-PA2,BI-DBS,BI-SAP,BI-LIN,BI-AG1,BI-AAG,BI-ZDM,BI-OSY,BI-PSI,BI-BEZ,BI-PST,BI-DPR,BI-SI1.2,BI-EMP
1582506,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1582706,4.0,4.0,4.0,4.0,2.0,4.0,,,,,,,,,,,,,,
3747406,4.0,2.0,1.0,3.0,2.0,4.0,4.0,,4.0,4.0,,,,4.0,,,,,,
1582806,2.5,3.0,2.5,4.0,3.0,4.0,4.0,,3.0,4.0,,,,4.0,,,4.0,,,
1582906,2.0,2.0,2.5,2.0,1.5,3.0,2.5,1.5,3.0,3.0,,3.0,2.5,2.5,2.5,3.0,1.5,1.5,2.5,3.0
1583106,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1583206,1.5,2.5,1.5,3.0,1.5,2.5,4.0,,2.5,4.0,,,,2.5,,,,,,
1583406,2.0,2.0,1.5,2.5,2.0,3.0,1.5,1.0,1.0,3.0,,2.0,2.5,3.0,2.5,3.0,1.5,1.0,1.5,2.0
1583606,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1583706,1.0,2.0,1.0,2.5,2.0,3.0,2.0,1.5,1.0,2.5,,2.5,2.5,1.5,3.0,4.0,2.5,,,
1583806,1.0,2.5,1.0,2.0,2.5,3.0,2.5,1.5,3.0,3.0,,2.5,3.0,3.0,3.0,4.0,4.0,,2.5,3.0
1584006,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1584106,1.0,1.5,2.5,3.0,2.0,2.0,2.5,2.0,3.0,2.5,,2.5,3.0,3.0,2.5,1.5,2.5,1.0,2.5,3.0
1584306,2.5,1.5,1.0,3.0,2.0,3.0,3.0,1.0,2.5,3.0,,3.0,2.5,2.0,2.5,2.0,2.0,1.5,2.0,1.5
5502106,1.5,3.0,1.5,2.0,2.0,2.0,4.0,4.0,1.5,4.0,,4.0,3.0,4.0,4.0,4.0,4.0,2.5,2.0,
1584406,4.0,3.0,1.5,4.0,2.0,2.0,4.0,4.0,3.0,4.0,,4.0,4.0,4.0,4.0,,4.0,,2.0,
7809706,,4.0,,,,,,4.0,,,,4.0,4.0,,,,,,,
1585106,3.0,1.5,1.0,3.0,2.0,2.5,2.5,2.0,1.0,3.0,,1.5,3.0,3.0,2.5,3.0,2.0,1.5,2.5,2.5
1585206,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1585306,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1585406,1.0,2.5,1.5,3.0,2.5,3.0,4.0,2.5,3.0,3.0,,4.0,3.0,4.0,4.0,,2.0,,,
1585506,1.5,2.0,1.0,3.0,1.5,3.0,2.0,2.5,1.0,3.0,,2.0,3.0,2.5,2.0,1.5,2.0,2.0,2.0,2.0
7812106,2.0,1.0,2.5,2.5,2.5,1.5,2.5,2.5,1.0,2.0,,2.5,2.5,3.0,2.0,3.0,2.5,2.5,1.0,1.0
1585606,2.0,1.0,2.5,2.5,2.5,3.0,4.0,2.5,3.0,3.0,,4.0,2.5,4.0,4.0,3.0,2.5,2.5,4.0,4.0
1585706,4.0,1.0,2.5,4.0,3.0,2.5,4.0,3.0,3.0,3.0,,4.0,2.5,4.0,,,,,,4.0
1585806,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1586006,1.0,1.5,2.5,2.5,2.5,3.0,1.5,1.5,1.0,3.0,,2.5,2.5,2.0,3.0,2.5,3.0,1.0,2.0,3.0
1586106,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1586206,1.0,2.5,1.0,1.5,2.0,3.0,2.5,1.5,2.5,3.0,,2.0,2.5,2.0,1.5,2.5,3.0,1.0,1.5,3.0
1586306,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
6300806,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1586706,1.0,2.0,1.0,2.5,1.0,2.0,1.5,1.0,1.5,3.0,,2.5,2.0,1.5,2.5,1.5,2.0,1.5,1.0,1.5
1586806,4.0,1.0,2.5,4.0,2.5,4.0,4.0,4.0,3.0,3.0,,3.0,2.5,4.0,,,,,,4.0
1586906,4.0,4.0,4.0,3.0,4.0,4.0,,,,,,,,,,,,,,
1587006,1.0,1.0,1.5,3.0,2.5,3.0,1.0,2.5,1.5,2.5,,2.5,3.0,2.5,2.0,2.5,2.5,1.5,1.5,2.5
1587206,1.0,2.0,1.0,1.5,2.5,2.0,2.5,2.0,1.0,3.0,,1.0,2.0,3.0,2.5,2.0,3.0,2.0,2.0,2.5
1587306,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1587606,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1587706,1.5,3.0,2.0,3.0,2.5,2.0,3.0,1.5,3.0,1.5,,2.5,3.0,3.0,2.5,2.0,2.5,1.0,3.0,2.5
1587906,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1588006,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1588206,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1588306,2.5,1.0,1.5,2.5,3.0,2.0,3.0,2.5,2.5,2.5,,2.5,3.0,2.5,3.0,3.0,2.5,2.0,2.0,3.0
1588406,1.0,1.5,1.5,2.5,1.0,3.0,1.0,1.0,1.5,2.0,,1.0,3.0,1.5,2.0,2.0,1.5,1.5,1.5,2.5
1588806,1.0,2.0,3.0,4.0,3.0,4.0,4.0,2.5,3.0,4.0,,4.0,4.0,4.0,,,,,,
1588906,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1589006,1.0,3.0,2.5,2.5,2.5,2.5,4.0,2.0,3.0,4.0,,3.0,4.0,4.0,,,4.0,,4.0,4.0
1589106,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1589206,1.0,1.5,1.0,2.0,2.0,2.5,2.5,1.5,2.5,2.5,,2.5,2.5,3.0,2.0,2.5,2.5,1.0,2.5,2.5
1589306,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1589506,,,,,,,,,,,,,,,,,,,,
1589706,1.5,2.0,1.5,2.5,1.0,3.0,3.0,1.0,1.5,2.5,,2.0,2.5,3.0,2.5,1.0,2.0,1.0,1.5,2.5
6271306,1.5,1.0,1.5,2.5,4.0,4.0,,2.5,,,,4.0,4.0,,,4.0,,,,
1589806,1.5,1.0,1.5,2.5,3.0,4.0,4.0,2.5,3.0,4.0,,4.0,3.0,4.0,,,,,,
