studium_id,MI-PAA,MI-MPI,MI-PDP.16,MI-SPI.16
11649206,2.0,2.5,,
13499506,1.5,2.0,2.0,2.5
13028606,2.5,2.5,2.0,2.5
11643706,2.0,2.0,,
11657506,2.5,2.0,,
15630406,2.5,2.0,,
11650706,1.5,2.0,,
13498706,1.5,2.5,2.0,2.5
13499006,4.0,4.0,,
11651906,1.0,1.5,,
11645706,3.0,1.5,,
11644506,1.5,2.5,1.5,
11643906,,,,
12235106,1.5,2.0,,
11643106,2.0,1.5,,
11654506,2.0,2.5,,
13026306,4.0,2.5,4.0,4.0
11649606,2.5,2.0,,
14318406,2.0,2.0,4.0,2.0
11645106,1.5,2.5,2.0,
16692406,1.5,2.5,2.0,
11648606,2.0,1.5,,
13017406,2.0,3.0,1.5,2.5
11650106,1.0,1.5,,
11648306,1.5,1.5,,
13498606,4.0,4.0,,
14251106,4.0,4.0,,
13036006,4.0,4.0,,
11643406,1.5,1.0,4.0,2.5
13499706,2.0,1.5,1.5,2.0
13030306,4.0,4.0,,
16692306,2.5,1.5,3.0,2.5
13032406,2.0,2.5,2.0,3.0
13501806,4.0,4.0,,
11654306,1.5,2.5,,
15644306,4.0,4.0,,
16691906,2.5,3.0,,3.0
13035706,4.0,4.0,,
11645806,2.0,2.5,,
14264006,4.0,4.0,,
13017106,2.5,3.0,2.0,2.5
11653506,2.0,2.5,2.0,2.0
14274506,2.5,2.0,3.0,3.0
12236406,2.0,1.5,,
13022206,1.0,2.0,2.0,1.0
11648806,2.0,2.5,,
13030706,2.0,2.5,2.5,2.5
15638206,4.0,4.0,,
11643306,1.5,2.0,,
11659206,2.0,2.0,,
13499806,2.0,2.5,2.0,2.5
13030506,4.0,4.0,,
13025306,1.5,2.0,1.0,1.5
14281906,2.5,3.0,2.0,3.0
12235206,,4.0,,
13021106,2.0,2.5,2.0,2.5
11646306,2.0,2.0,,
12234406,,4.0,,
14287206,4.0,4.0,,
13022706,2.0,2.5,2.0,2.5
16692006,1.5,2.5,2.0,1.5
13027406,1.5,2.5,2.0,1.5
11653706,,2.5,,
13033406,,2.5,,
13499606,1.5,1.5,1.5,1.5
14266406,2.0,2.0,,
11647406,2.0,2.0,,
11654906,1.5,2.0,,
11648106,2.5,2.0,,
11650906,1.0,2.0,,
13027506,1.5,2.0,2.5,2.0
11649306,1.0,1.0,,
11657106,,4.0,,
13502006,4.0,4.0,,
11651306,1.0,1.5,1.0,1.5
13500906,2.0,3.0,1.5,2.5
11647106,2.0,3.0,2.0,
12236106,2.5,3.0,,
15632406,2.5,4.0,,
13033706,2.5,2.5,2.0,2.5
15629206,2.0,3.0,2.5,2.0
14279606,2.0,2.5,2.0,2.5
11646106,2.0,2.0,,
13500606,2.0,2.5,1.5,2.5
13026506,4.0,4.0,,
15634606,4.0,1.5,,
11642406,4.0,1.5,,
11653906,2.0,2.5,,
6458606,2.0,3.0,,
8294606,2.0,2.0,,
8333106,,4.0,,
6822006,,4.0,,
6818306,,,,
13500806,2.0,2.0,1.5,2.0
14260106,,,,
14317006,1.5,1.0,1.0,1.0
6806306,,4.0,,
6807806,,4.0,,
9233906,2.5,2.5,,
6809206,4.0,2.5,,
6810006,,,,
6810306,,,,
6810806,,2.5,,
6812506,2.0,2.5,,
6813106,,4.0,,
6813206,,4.0,,
6814706,2.0,3.0,,
6814806,,,,
6814906,2.0,2.5,,
13500106,2.0,2.5,,
11652806,,4.0,,
6816206,4.0,4.0,,
8327906,,3.0,,
