studium_id,typ_programu,forma_studia,datum_zahajeni,datum_ukonceni,rocnik,studijni_stav,studuje,jazyk_vyuky,ukonceni_zpusob,rok_maturity,odkud_skola_kod
12980106,B,P,2016,2016,1.0,3,K,CS,2.0,2016,108052940
12978106,B,P,2016,2018,2.0,3,K,CS,2.0,2014,600170039
13015206,B,P,2016,2018,2.0,7,K,CS,3.0,2013,600005933
13000306,B,P,2016,2017,2.0,3,K,CS,2.0,2016,108030091
13000806,B,P,2016,2018,2.0,3,K,CS,2.0,2016,999999703
13014706,B,P,2016,2018,2.0,3,K,CS,2.0,2016,61386022
12978206,B,P,2016,2017,1.0,3,K,CS,2.0,2016,44846738
12984406,B,P,2016,2017,1.0,7,K,CS,3.0,2016,87513
12980306,B,P,2016,2017,1.0,3,K,CS,2.0,2016,60650443
12953706,B,K,2016,2017,2.0,7,K,CS,3.0,2013,107820544
12984106,B,P,2016,2017,1.0,3,K,CS,2.0,2016,68870
12983306,B,P,2016,2017,1.0,3,K,CS,2.0,2016,61664707
12999106,B,P,2016,2017,2.0,3,K,CS,2.0,2016,108047792
12981006,B,P,2016,2017,1.0,7,K,CS,3.0,2015,999999398
12951506,B,K,2016,2017,1.0,7,K,CS,3.0,2006,999999703
13001206,B,P,2016,2017,2.0,7,K,CS,3.0,2015,610250574
12950106,B,K,2016,2017,1.0,3,K,CS,2.0,2008,999999703
12982906,B,P,2016,2018,3.0,3,K,CS,2.0,2016,61386855
12983106,B,P,2016,2017,2.0,7,K,CS,3.0,2014,999999398
13004006,B,P,2016,2018,2.0,3,K,CS,2.0,2016,335398
12953506,B,K,2016,2017,1.0,3,K,CS,2.0,2003,60884703
12985706,B,P,2016,2019,3.0,17,K,CS,1.0,2016,108047792
12950906,B,K,2016,2017,1.0,7,K,CS,3.0,2012,638170
13016206,B,P,2016,2017,2.0,7,K,CS,3.0,2016,999999703
13016606,B,P,2016,2019,3.0,3,K,CS,2.0,2016,48342939
13016806,B,P,2016,2017,1.0,3,K,CS,2.0,1983,555555555
12979706,B,P,2016,2018,2.0,17,K,CS,1.0,2009,49625446
13016406,B,P,2016,2017,1.0,7,K,CS,3.0,2016,18383874
12979406,B,P,2016,2019,3.0,17,K,CS,1.0,2016,843351
12978806,B,P,2016,2017,1.0,3,K,CS,2.0,2016,638374
13015406,B,P,2016,2017,1.0,7,K,CS,3.0,2014,62690043
12998906,B,P,2016,2018,3.0,3,K,CS,2.0,2016,843351
13004706,B,P,2016,2017,2.0,7,K,CS,3.0,2016,49767194
12979906,B,P,2016,2017,2.0,7,K,CS,3.0,2016,49625446
12948906,B,K,2016,2017,2.0,7,K,CS,3.0,2009,550591
12954706,B,P,2016,2018,2.0,3,K,CS,2.0,2012,61386022
12949906,B,K,2016,2018,3.0,3,K,CS,2.0,2010,102403562
12981106,B,P,2016,2018,2.0,3,K,CS,2.0,2016,601896
13013206,B,P,2016,2018,2.0,17,K,CS,1.0,2014,999999703
