studium_id,dokoncil_semestr,BI-PA1_znamka,BI-PA1_poradi_zapisu,BI-PAI_znamka,BI-PAI_poradi_zapisu,BI-CAO_znamka,BI-CAO_poradi_zapisu,BI-PS1_znamka,BI-PS1_poradi_zapisu,BI-MLO_znamka,BI-MLO_poradi_zapisu,BI-ZMA_znamka,BI-ZMA_poradi_zapisu,pocet_kreditu_semestr_1,BI-PA2_znamka,BI-PA2_poradi_zapisu,BI-DBS_znamka,BI-DBS_poradi_zapisu,BI-SAP_znamka,BI-SAP_poradi_zapisu,BI-LIN_znamka,BI-LIN_poradi_zapisu,pocet_kreditu_semestr_2,BI-AAG_znamka,BI-AAG_poradi_zapisu,BI-ZDM_znamka,BI-ZDM_poradi_zapisu,BI-AG1_znamka,BI-AG1_poradi_zapisu,pocet_kreditu_semestr_3
11699306,1.0,2.5,1.0,2.5,1.0,1.5,1.0,3.0,1.0,3.0,1.0,3.0,2.0,24.0,4.0,1.0,2.5,1.0,2.0,1.0,4.0,1.0,12.0,4.0,1.0,4.0,1.0,4.0,1.0,19.0
15614906,0.0,3.0,1.0,3.0,1.0,1.0,1.0,1.5,1.0,2.0,1.0,4.0,1.0,22.0,4.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,14.0,4.0,1.0,4.0,1.0,4.0,1.0,2.0
13511506,0.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,4.0,2.0,19.0,4.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,18.0,4.0,1.0,4.0,1.0,4.0,1.0,14.0
16713806,0.0,2.5,1.0,2.5,1.0,1.5,1.0,3.0,1.0,2.5,1.0,4.0,2.0,18.0,2.5,1.0,2.5,1.0,2.5,1.0,3.0,1.0,14.0,4.0,2.0,2.5,1.0,4.0,2.0,4.0
11736406,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.5,1.0,2.5,1.0,2.0,1.0,30.0,2.5,1.0,2.0,1.0,2.5,1.0,1.5,1.0,30.0,2.5,1.0,3.0,1.0,2.5,1.0,30.0
11734806,0.0,2.0,1.0,2.5,1.0,1.0,1.0,2.5,2.0,2.0,1.0,4.0,1.0,19.0,2.5,1.0,1.5,1.0,1.0,1.0,4.0,1.0,26.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
12959606,0.0,2.0,1.0,2.5,1.0,1.0,1.0,2.5,1.0,2.0,1.0,4.0,1.0,20.0,2.5,1.0,1.5,1.0,1.0,1.0,4.0,1.0,31.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
12978406,1.0,2.5,1.0,3.0,1.0,1.0,1.0,2.5,2.0,2.5,1.0,2.0,2.0,19.0,2.5,1.0,2.5,1.0,2.5,1.0,4.0,1.0,23.0,4.0,1.0,2.5,1.0,4.0,1.0,21.0
12961206,0.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.5,1.0,3.0,1.0,28.0,4.0,1.0,2.5,1.0,1.0,1.0,-1.0,-1.0,9.0,4.0,1.0,4.0,1.0,4.0,1.0,6.0
12993406,1.0,1.5,1.0,1.5,1.0,1.0,1.0,2.5,1.0,1.0,1.0,1.5,1.0,16.0,2.0,1.0,1.5,1.0,1.5,1.0,4.0,1.0,23.0,1.5,1.0,2.5,1.0,2.5,1.0,26.0
13013006,0.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,4.0,1.0,21.0,4.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,11.0,4.0,1.0,4.0,1.0,2.5,1.0,15.0
11736206,1.0,1.0,1.0,3.0,1.0,1.5,1.0,2.5,1.0,3.0,1.0,2.5,1.0,30.0,1.0,1.0,3.0,1.0,2.5,1.0,4.0,1.0,23.0,3.0,1.0,2.5,1.0,4.0,1.0,27.0
11694406,1.0,2.5,1.0,3.0,1.0,1.0,1.0,2.5,2.0,2.5,1.0,2.5,1.0,25.0,4.0,1.0,3.0,1.0,4.0,1.0,4.0,1.0,15.0,4.0,1.0,4.0,1.0,4.0,1.0,9.0
11705606,1.0,2.5,1.0,2.5,1.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,15.0,4.0,1.0,2.5,1.0,1.0,1.0,4.0,1.0,19.0,2.5,1.0,2.0,2.0,2.5,1.0,30.0
