studium_id,BI-AAG,BI-ZMA,BI-LIN,BI-ZDM,prumer
16744706,1.5,1.0,2.0,1.0,1.375
16758506,2.0,2.0,3.0,2.0,2.25
16750606,2.5,2.0,2.0,2.0,2.125
16758906,,2.5,2.5,4.0,3.0
16759406,2.5,2.0,2.0,2.0,2.125
16739106,2.0,1.0,1.0,2.0,1.5
16721706,2.0,2.0,2.5,2.0,2.125
16189806,1.5,1.0,2.5,2.5,1.875
16761306,2.5,2.5,1.5,3.0,2.375
17923306,,2.5,,,2.5
16755106,3.0,2.5,1.5,2.5,2.375
18605406,,4.0,,,4.0
16723306,4.0,2.5,4.0,,3.5
16717006,1.0,1.0,1.5,1.0,1.125
16734506,2.5,,2.5,2.5,2.5
15551906,1.0,1.5,3.0,2.0,1.875
16755806,2.0,1.0,2.0,1.5,1.625
16717806,2.0,1.0,1.0,1.0,1.25
16727606,2.5,2.5,2.0,2.5,2.375
16736706,1.5,2.0,2.0,2.0,1.875
17935306,,2.0,2.5,,2.25
16768306,2.0,2.0,2.0,2.0,2.0
16735106,2.5,2.0,2.0,2.0,2.125
15586506,2.5,2.5,2.5,2.5,2.5
18599206,,,,,
17934006,,2.0,4.0,,3.0
18600406,,4.0,2.5,,3.25
17902006,,2.5,,,2.5
18599806,,2.5,,,2.5
16762306,1.5,1.0,1.0,1.0,1.125
18586106,,4.0,,,4.0
17950706,,1.5,1.0,,1.25
18486106,,,,,
15578906,3.0,1.5,2.0,2.5,2.25
16771906,4.0,2.0,4.0,4.0,3.5
15549106,1.0,1.5,2.5,1.5,1.625
16712106,4.0,2.5,2.0,2.0,2.625
16751606,2.5,1.0,2.5,1.0,1.75
17906106,,2.0,,,2.0
17913206,,1.5,1.0,,1.25
18039106,,,,,
17910106,,2.0,2.5,,2.25
18605006,,4.0,,,4.0
15572406,2.0,2.5,2.0,2.5,2.25
17944906,,4.0,,,4.0
15623306,2.5,2.0,2.5,,2.3333333333333335
17947606,,2.0,2.0,,2.0
17911106,,,,,
17948706,1.0,1.5,,,1.25
16740006,,,2.0,2.5,2.25
16749606,1.0,1.0,1.0,1.0,1.0
16756906,4.0,2.0,3.0,2.0,2.75
18582606,,2.0,3.0,,2.5
17941106,,4.0,,,4.0
17944606,,4.0,,,4.0
18600206,,,2.0,2.0,2.0
17947506,,2.0,,,2.0
17950406,,1.5,4.0,,2.75
17916906,,4.0,,,4.0
16765506,1.5,1.5,2.0,2.0,1.75
17918506,,2.0,,,2.0
17909606,,4.0,,,4.0
17919006,,1.5,1.5,,1.5
17928506,,2.5,4.0,,3.25
16731406,1.5,1.0,1.0,2.0,1.375
15578406,2.5,2.5,2.5,2.0,2.375
18604106,,4.0,,,4.0
17928006,,1.0,2.0,,1.5
17321706,,2.0,4.0,,3.0
17918406,,4.0,4.0,,4.0
17942606,,2.0,3.0,,2.5
17915906,,4.0,,,4.0
17913606,,2.5,2.5,,2.5
17948106,,4.0,,,4.0
16764406,2.0,1.5,2.5,2.0,2.0
17930406,,4.0,,,4.0
18605506,,4.0,,,4.0
17923506,,2.5,2.5,,2.5
17908506,,1.5,2.0,,1.75
16736406,2.5,2.5,3.0,4.0,3.0
17332906,2.0,1.5,,2.0,1.8333333333333333
15568006,2.0,2.0,2.5,2.0,2.125
17923806,,4.0,,,4.0
17940906,,4.0,,,4.0
18585206,,2.5,,,2.5
17902906,,2.5,,,2.5
17939806,,4.0,,,4.0
16714106,2.5,,3.0,3.0,2.8333333333333335
17929106,,4.0,,,4.0
17910906,,1.5,2.0,,1.75
18591806,,2.5,2.5,,2.5
16717406,2.5,2.0,2.5,2.0,2.25
18602806,,2.0,2.0,,2.0
17908006,,4.0,,,4.0
16720306,1.0,2.5,1.5,2.5,1.875
16770606,4.0,2.0,2.5,4.0,3.125
17935406,,4.0,,,4.0
17911506,,1.5,1.5,,1.5
18599306,,2.5,4.0,,3.25
16740206,2.5,2.0,2.0,2.5,2.25
16769906,2.5,1.0,2.0,1.0,1.625
18604406,,4.0,2.5,,3.25
16725906,1.0,1.0,1.0,1.0,1.0
17907906,,2.5,,,2.5
17919106,,2.0,2.5,,2.25
17946506,,1.5,2.0,,1.75
17949806,,2.0,,,2.0
17909306,,2.5,,,2.5
16740606,2.5,2.5,2.5,4.0,2.875
