studium_id,dokoncil_semestr,pohlavi_kod,je_cech,datum_zahajeni,rok_maturity,maturita_nastup_rozdil,gymnazium,praha,scio,olym,zkouska,prominuti
11702306,0.0,1,0,2015,2012,3,0,1,0,0,0,0
11705606,1.0,1,1,2015,2014,1,1,1,0,0,0,0
11739706,0.0,0,1,2015,2014,1,0,0,0,0,0,0
11731106,0.0,0,1,2015,2014,1,0,1,0,0,0,0
11724506,1.0,0,1,2015,2014,1,0,0,0,0,0,0
11692406,0.0,0,0,2015,2012,3,0,2,0,0,0,0
11723006,1.0,0,0,2015,2014,1,0,0,0,0,0,0
11726006,0.0,0,0,2015,2014,1,0,1,0,0,0,0
11736606,0.0,0,0,2015,2014,1,0,2,0,0,0,0
12976506,0.0,0,0,2016,2015,1,0,2,0,0,0,0
14812606,0.0,0,0,2017,2015,2,0,2,0,0,0,0
11700206,1.0,0,0,2015,2014,1,0,2,0,0,0,0
11709906,0.0,0,0,2015,2014,1,0,2,0,0,0,0
11715106,0.0,0,0,2015,2014,1,0,2,0,0,0,0
11736006,0.0,1,0,2015,2015,0,0,2,0,0,0,0
12031406,1.0,0,0,2015,2015,0,0,2,0,0,0,0
11687106,0.0,0,0,2015,2015,0,0,2,0,0,0,0
12376206,0.0,0,0,2015,2015,0,0,2,0,0,0,0
11699806,0.0,0,0,2015,2015,0,0,2,0,0,0,0
12967506,1.0,0,0,2016,2014,2,0,2,0,0,0,0
11713406,0.0,0,0,2015,2014,1,0,2,0,0,0,0
11675006,1.0,0,0,2015,2011,4,0,2,0,0,0,0
13010206,0.0,0,0,2016,2015,1,0,1,0,0,0,0
11725606,1.0,1,0,2015,2014,1,0,2,0,0,0,0
12036906,0.0,0,0,2015,2013,2,0,2,0,0,0,0
15624706,0.0,0,0,2018,2014,4,0,2,0,0,0,0
11679506,0.0,0,0,2015,2014,1,0,2,0,0,0,0
11743406,0.0,0,0,2015,2014,1,0,2,0,0,0,0
13003206,0.0,0,0,2016,2014,2,0,2,0,0,0,0
11710906,1.0,0,0,2015,2014,1,0,2,0,0,0,0
11711906,1.0,0,0,2015,2014,1,0,2,0,0,0,0
12037206,1.0,0,0,2015,2014,1,0,2,0,0,0,0
14240906,0.0,0,0,2017,2014,3,0,2,0,0,0,0
15620506,1.0,0,0,2018,2014,4,0,2,0,0,0,0
19095106,0.0,0,0,2021,2014,7,1,2,1,1,0,0
11676806,0.0,0,0,2015,2015,0,0,2,0,0,0,0
12963406,1.0,0,0,2016,2013,3,0,2,0,0,0,0
11686606,1.0,1,0,2015,2014,1,0,2,0,0,0,0
11796406,0.0,1,0,2015,2014,1,0,2,0,0,0,0
11686706,0.0,0,0,2015,2014,1,0,2,0,0,0,0
12990406,0.0,0,0,2016,2014,2,0,2,0,0,0,0
11737506,1.0,0,0,2015,2015,0,0,2,0,0,0,0
11733506,1.0,1,0,2015,2015,0,0,2,0,0,0,0
13014606,0.0,0,0,2016,2014,2,0,2,0,0,0,0
11717306,0.0,0,0,2015,2012,3,0,2,0,0,0,0
11676406,0.0,0,0,2015,2015,0,0,2,0,0,0,0
11700406,0.0,0,0,2015,2014,1,0,2,0,0,0,0
11699206,0.0,1,0,2015,2015,0,0,2,0,0,0,0
12974906,0.0,1,0,2016,2015,1,0,2,0,0,0,0
12031906,0.0,0,0,2015,2015,0,0,2,0,0,0,0
11737406,1.0,0,0,2015,2015,0,0,2,0,0,0,0
11717206,0.0,0,0,2015,2014,1,0,2,0,0,0,0
11719906,1.0,0,0,2015,2015,0,0,2,0,0,0,0
14803306,0.0,1,0,2017,2014,3,0,2,0,0,0,0
13010306,0.0,1,0,2016,2014,2,0,2,0,0,0,0
11687706,1.0,0,0,2015,2015,0,0,2,0,0,0,0
11729406,0.0,0,0,2015,2013,2,0,0,0,0,0,0
12961106,0.0,1,0,2016,2014,2,0,2,0,0,0,0
11679306,0.0,1,0,2015,2014,1,0,2,0,0,0,0
11693406,1.0,0,0,2015,2006,9,0,2,0,0,0,0
11740606,0.0,0,0,2015,2014,1,0,2,0,0,0,0
11738406,0.0,0,0,2015,2013,2,0,2,0,0,0,0
11714206,1.0,0,0,2015,2015,0,0,2,0,0,0,0
11683106,1.0,0,0,2015,2015,0,0,2,0,0,0,0
11713606,0.0,0,0,2015,2011,4,0,2,0,0,0,0
11693006,1.0,0,0,2015,2015,0,0,2,0,0,0,0
12970006,1.0,0,0,2016,2014,2,0,2,0,0,0,0
11680606,0.0,0,0,2015,2015,0,0,2,0,0,0,0
11701506,1.0,0,0,2015,2015,0,0,2,0,0,0,0
11676706,1.0,1,0,2015,2015,0,0,2,0,0,0,0
12376406,0.0,0,0,2015,2015,0,0,2,0,0,0,0
11700506,1.0,0,0,2015,2015,0,0,2,0,0,0,0
13003006,1.0,0,0,2016,2015,1,0,2,0,0,0,0
11729906,1.0,0,0,2015,2015,0,0,2,0,0,0,0
11696806,1.0,0,0,2015,2014,1,0,2,0,0,0,0
12035406,0.0,0,0,2015,2015,0,0,2,0,0,0,0
11704206,1.0,0,0,2015,2015,0,0,2,0,0,0,0
11708506,0.0,0,0,2015,2015,0,0,2,0,0,0,0
15605806,0.0,0,0,2018,2014,4,0,1,0,0,0,0
11718206,1.0,0,0,2015,2015,0,0,2,0,0,0,0
13000606,0.0,0,0,2016,2015,1,0,2,0,0,0,0
11728606,0.0,0,0,2015,2015,0,0,2,0,0,0,0
11683306,1.0,0,0,2015,2015,0,0,2,0,0,0,0
11688206,0.0,0,0,2015,2015,0,0,2,0,0,0,0
11725706,0.0,0,0,2015,2014,1,0,2,0,0,0,0
11714706,0.0,0,0,2015,2015,0,0,2,0,0,0,0
11686806,1.0,0,0,2015,2015,0,0,2,0,0,0,0
14279806,1.0,1,0,2017,2015,2,0,2,0,0,0,0
12034406,1.0,1,0,2015,2015,0,0,2,0,0,0,0
12972006,1.0,0,1,2016,2015,1,1,1,0,0,0,0
11727806,1.0,0,1,2015,2015,0,1,1,0,0,0,0
14270406,1.0,0,0,2017,2014,3,0,2,0,0,0,0
11678806,1.0,0,0,2015,2014,1,0,2,0,0,0,0
12036306,1.0,1,0,2015,2014,1,0,2,0,0,0,0
12987006,1.0,0,0,2016,2014,2,0,2,0,0,0,0
12031606,0.0,0,0,2015,2014,1,0,2,0,0,0,0
12036706,1.0,1,0,2015,2014,1,0,2,0,0,0,0
12037106,0.0,1,0,2015,2014,1,0,2,0,0,0,0
11702106,1.0,0,0,2015,2014,1,0,2,0,0,0,0
11677206,1.0,0,0,2015,2015,0,0,2,0,0,0,0
11677506,1.0,0,0,2015,2014,1,0,2,0,0,0,0
11737906,0.0,0,0,2015,2014,1,0,2,0,0,0,0
15621606,0.0,0,0,2018,2014,4,0,2,0,0,0,0
11711606,0.0,0,0,2015,2014,1,0,2,0,0,0,0
11736506,0.0,0,0,2015,2015,0,0,2,0,0,0,0
12033006,0.0,0,0,2015,2015,0,0,2,0,0,0,0
14286906,1.0,0,0,2017,2014,3,0,2,0,0,0,0
11739606,1.0,0,0,2015,2014,1,0,2,0,0,0,0
11692906,0.0,0,0,2015,2014,1,0,2,0,0,0,0
13003306,0.0,0,0,2016,2012,4,0,2,0,0,0,0
11686306,0.0,0,0,2015,2012,3,0,2,0,0,0,0
14269206,0.0,0,0,2017,2012,5,0,2,0,0,0,0
11724006,0.0,0,0,2015,2015,0,0,2,0,0,0,0
11692506,1.0,1,0,2015,2013,2,0,2,0,0,0,0
11676906,1.0,0,0,2015,2015,0,0,2,0,0,0,0
11683406,1.0,0,0,2015,2014,1,0,2,0,0,0,0
11696706,1.0,0,0,2015,2015,0,0,2,0,0,0,0
12033806,0.0,0,0,2015,2014,1,0,2,0,0,0,0
13515206,0.0,0,0,2016,2014,2,0,2,0,0,0,0
11701906,1.0,1,0,2015,2013,2,0,2,0,0,0,0
15624506,1.0,0,0,2018,2015,3,0,2,0,0,0,0
11738006,1.0,0,0,2015,2015,0,0,2,0,0,0,0
12962706,1.0,0,0,2016,2014,2,0,1,0,0,0,0
11692206,1.0,0,0,2015,2010,5,0,2,0,0,0,0
11712306,0.0,0,0,2015,2015,0,0,2,0,0,0,0
12032606,0.0,1,0,2015,2015,0,0,2,0,0,0,0
12983106,0.0,1,0,2016,2014,2,0,1,0,0,0,0
12031206,0.0,1,0,2015,2014,1,0,1,0,0,0,0
11678706,0.0,0,0,2015,2015,0,0,2,0,0,0,0
11711506,0.0,0,0,2015,2014,1,0,2,0,0,0,0
11741906,1.0,0,0,2015,2015,0,0,2,0,0,0,0
11716106,0.0,0,0,2015,2014,1,0,2,0,0,0,0
11726306,1.0,0,0,2015,2014,1,0,2,0,0,0,0
11685006,0.0,0,0,2015,2014,1,0,2,0,0,0,0
11680306,1.0,0,0,2015,2015,0,0,2,0,0,0,0
