semestr_id,predmet_id,studium_id,zapocteno,zakonceno,znamka,poradi_zapisu
B172,4643006,14254406,Z,1.0,2.5,1
B172,4643006,14245306,Z,1.0,2.0,1
B172,4643006,14247506,Z,1.0,1.5,1
B172,4643006,14795006,Z,,4.0,1
B172,4643006,14303506,Z,1.0,1.5,1
B172,4643006,14794306,Z,1.0,2.0,1
B172,4643006,14308706,,,4.0,1
B172,4643006,14246706,Z,1.0,1.5,1
B172,4643006,14275606,Z,1.0,2.0,1
B162,4643006,13036106,Z,,4.0,1
B162,4643006,13026806,Z,,4.0,1
B162,4643006,13028206,Z,1.0,2.0,1
B172,4643006,14242206,Z,,4.0,1
B172,4643006,14310106,Z,1.0,1.5,1
B172,4643006,14255206,Z,1.0,2.0,1
B172,4643006,14244706,Z,1.0,1.5,1
B172,4643006,14284006,Z,1.0,1.5,1
B172,4643006,14277406,Z,1.0,1.5,1
B172,4643006,14242006,Z,1.0,1.5,1
B172,4643006,14252806,Z,1.0,2.0,1
B172,4643006,14310506,Z,1.0,1.5,1
B172,4643006,14303806,Z,1.0,1.5,1
B172,4643006,14285606,Z,1.0,2.0,1
B172,4643006,14301606,Z,1.0,1.0,1
B172,4643006,14304906,Z,1.0,1.5,1
B172,4643006,14264106,Z,1.0,1.5,1
B172,4643006,14319006,Z,1.0,2.0,1
B172,4643006,14313306,Z,1.0,1.5,1
B172,4643006,14280106,Z,1.0,1.5,1
B172,4643006,14315606,Z,1.0,2.0,1
B172,4643006,14297206,Z,1.0,2.0,1
B172,4643006,14276106,Z,1.0,1.5,1
B172,4643006,14246506,Z,,4.0,1
B172,4643006,14302706,Z,1.0,1.5,1
B172,4643006,14793106,Z,1.0,1.5,1
B172,4643006,14794206,Z,1.0,2.0,1
B172,4643006,14297806,Z,1.0,1.5,1
B172,4643006,14299206,Z,1.0,2.0,1
B172,4643006,14294306,Z,1.0,1.5,1
B172,4643006,14266506,Z,1.0,1.5,1
B172,4643006,14258706,Z,1.0,2.0,1
B172,4643006,14282506,Z,1.0,1.5,1
B172,4643006,14795106,Z,1.0,2.0,1
B172,4643006,14793506,Z,1.0,1.5,1
B172,4643006,14249906,Z,1.0,1.0,1
B172,4643006,14318506,Z,1.0,1.5,1
B172,4643006,14256906,,,4.0,1
B172,4643006,14256006,Z,1.0,1.5,1
B172,4643006,14299706,Z,1.0,1.5,1
B172,4643006,14281906,Z,1.0,2.0,1
B172,4643006,14265306,Z,1.0,1.5,1
B172,4643006,14295106,Z,1.0,1.5,1
B172,4643006,14256506,Z,1.0,1.5,1
B172,4643006,14280906,Z,1.0,1.0,1
B182,4643006,15629706,Z,,4.0,1
B182,4643006,15639406,Z,1.0,1.5,1
B182,4643006,15627106,Z,1.0,1.5,1
B182,4643006,15634206,Z,1.0,1.5,1
B182,4643006,15639706,Z,1.0,2.0,1
B182,4643006,15642506,Z,1.0,2.0,1
B182,4643006,16198606,Z,,4.0,1
B182,4643006,16198406,Z,1.0,2.0,1
B182,4643006,16198706,Z,,4.0,1
B172,4643006,14792706,Z,1.0,2.0,1
B172,4643006,14318406,,,4.0,1
B162,4643006,13020506,Z,1.0,2.5,1
B162,4643006,13021806,Z,1.0,1.5,1
B162,4643006,13036906,Z,1.0,1.5,1
B162,4643006,13025206,Z,1.0,1.5,1
B162,4643006,13031606,Z,1.0,2.0,1
B162,4643006,13020206,Z,1.0,2.0,1
B182,4643006,16197206,Z,1.0,2.0,1
B172,4643006,14319106,Z,1.0,1.5,1
B182,4643006,15628106,Z,1.0,2.0,1
B182,4643006,15637806,Z,1.0,2.0,1
B172,4643006,14259906,Z,1.0,1.5,1
B172,4643006,14280206,Z,1.0,2.0,1
B172,4643006,14296706,Z,1.0,1.5,1
B172,4643006,14288006,Z,,4.0,1
B192,4643006,16694406,Z,1.0,1.5,1
B182,4643006,15638006,Z,1.0,2.0,1
B182,4643006,15627506,Z,1.0,2.0,1
B182,4643006,15640306,Z,1.0,1.5,1
B182,4643006,15642206,Z,,4.0,1
B182,4643006,15643706,Z,,4.0,1
B182,4643006,15638906,Z,,4.0,1
B182,4643006,15631706,Z,,4.0,1
B182,4643006,15642706,Z,1.0,1.5,1
B182,4643006,15641006,Z,1.0,1.5,1
B182,4643006,15640006,Z,1.0,1.5,1
B182,4643006,15627706,Z,,4.0,1
B182,4643006,15631806,Z,1.0,2.0,1
B182,4643006,16196706,Z,1.0,2.5,1
B172,4643006,14276006,Z,1.0,1.5,1
B172,4643006,14320706,Z,1.0,2.0,1
B172,4643006,14277806,Z,1.0,1.5,1
B162,4643006,13020706,Z,,,1
B162,4643006,13020406,Z,,4.0,1
B162,4643006,13028906,Z,,4.0,1
B162,4643006,13023806,Z,1.0,1.5,1
B162,4643006,13020006,Z,1.0,2.0,1
B162,4643006,13019906,Z,1.0,1.5,1
B162,4643006,13019806,Z,1.0,2.0,1
B162,4643006,13020806,Z,1.0,1.5,1
B162,4643006,13019706,Z,1.0,2.0,1
B162,4643006,13032906,Z,1.0,2.0,1
B162,4643006,13032806,Z,1.0,1.0,1
B162,4643006,13032706,Z,1.0,1.0,1
B162,4643006,13032606,,,4.0,1
B162,4643006,13032506,Z,1.0,1.5,1
B162,4643006,13019406,Z,1.0,2.0,1
B162,4643006,13019306,Z,1.0,2.0,1
B162,4643006,13033006,Z,,4.0,1
B162,4643006,13020906,Z,1.0,1.5,1
B162,4643006,13021106,Z,,,1
B162,4643006,13021206,,,4.0,1
B162,4643006,13022506,Z,1.0,2.0,1
B162,4643006,13022406,Z,1.0,1.0,1
B162,4643006,13022206,Z,1.0,2.0,1
B162,4643006,13022106,Z,1.0,2.0,1
B162,4643006,13021906,Z,1.0,2.0,1
B162,4643006,13021706,Z,,4.0,1
B162,4643006,13021606,Z,1.0,1.0,1
B162,4643006,13035106,Z,1.0,1.0,1
B162,4643006,13034406,Z,1.0,2.5,1
B162,4643006,13034206,Z,1.0,2.0,1
B162,4643006,13034106,Z,1.0,1.5,1
B162,4643006,13018206,Z,,4.0,1
B162,4643006,13026006,Z,1.0,1.5,1
B162,4643006,13033906,Z,1.0,1.5,1
B162,4643006,13033606,Z,,4.0,1
B162,4643006,13021506,Z,1.0,1.5,1
B162,4643006,13021306,Z,,4.0,1
B162,4643006,13019206,Z,1.0,2.5,1
B162,4643006,13019106,Z,1.0,1.5,1
B162,4643006,13019006,Z,1.0,1.5,1
B162,4643006,13018506,Z,1.0,1.0,1
B162,4643006,13029406,Z,1.0,2.5,1
B162,4643006,13029206,,,4.0,1
B162,4643006,13029006,Z,1.0,2.0,1
B162,4643006,13028806,Z,1.0,1.5,1
B162,4643006,13028706,Z,,4.0,1
B162,4643006,13028606,Z,,4.0,1
B162,4643006,13028406,Z,1.0,1.5,1
B162,4643006,13035606,Z,1.0,2.0,1
B162,4643006,13028306,Z,1.0,2.0,1
B162,4643006,13027906,Z,1.0,1.5,1
B162,4643006,13027806,Z,1.0,1.5,1
B162,4643006,13027506,Z,1.0,2.5,1
B162,4643006,13027406,Z,1.0,2.0,1
