studium_id,dokoncil_semestr,BI-PA1_znamka,BI-PA1_poradi_zapisu,BI-PA1_semestr,BI-PAI_znamka,BI-PAI_poradi_zapisu,BI-PAI_semestr,BI-CAO_znamka,BI-CAO_poradi_zapisu,BI-CAO_semestr,BI-PS1_znamka,BI-PS1_poradi_zapisu,BI-PS1_semestr,BI-MLO_znamka,BI-MLO_poradi_zapisu,BI-MLO_semestr,BI-ZMA_znamka,BI-ZMA_poradi_zapisu,BI-ZMA_semestr,pocet_kreditu_semestr_1,pohlavi_kod,je_cech,datum_zahajeni,rok_maturity,maturita_nastup_rozdil,gymnazium,praha,scio,olym,zkouska,prominuti
12979306,1.0,1.0,1.0,1.0,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,30.0,0,1,2016,2015,1,0,0,0,0,0,0
12035306,1.0,2.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.5,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,29.0,0,1,2015,2013,2,1,0,0,0,0,0
11715406,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.5,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,2.5,1.0,1.0,34.0,0,1,2015,2013,2,1,0,0,0,0,0
11689006,0.0,3.0,1.0,1.0,0.0,0.0,0.0,2.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,1.0,17.0,0,1,2015,2013,2,1,0,0,0,0,0
12990906,0.0,1.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0,1,2016,2013,3,1,0,0,0,0,0
11741806,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,1.0,27.0,0,1,2015,2013,2,0,0,0,0,0,0
14809406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0,1,2017,2013,4,0,0,0,0,0,0
11678506,1.0,2.5,1.0,1.0,2.0,1.0,1.0,1.5,1.0,1.0,2.5,1.0,1.0,2.5,1.0,1.0,2.5,1.0,1.0,30.0,0,1,2015,2015,0,1,1,0,0,0,0
11707406,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,17.0,0,1,2015,2013,2,0,0,0,0,0,0
12986206,1.0,3.0,1.0,1.0,4.0,1.0,1.0,1.5,1.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,22.0,0,0,2016,2013,3,0,-1,0,0,0,0
14801606,1.0,2.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0,1,2017,2014,3,1,0,0,0,0,0
13011406,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,25.0,0,1,2016,2014,2,0,1,0,0,0,0
14240606,0.0,3.0,1.0,1.0,2.5,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0,0,2017,2012,5,0,-1,0,0,0,0
13515906,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0,1,2016,2014,2,1,0,0,0,0,0
14809606,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0,1,2017,2014,3,1,1,0,0,0,0
11732806,0.0,4.0,1.0,1.0,2.5,1.0,1.0,2.5,1.0,1.0,2.5,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,20.0,0,1,2015,2013,2,0,1,0,0,0,0
11734106,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0,1,2015,2014,1,1,1,0,0,0,0
12998206,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,39.0,0,1,2016,2014,2,1,0,0,0,0,0
11717706,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0,0,2015,2011,4,0,-1,0,0,0,0
12959106,0.0,3.0,1.0,1.0,2.5,1.0,1.0,1.0,1.0,1.0,2.5,1.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,19.0,0,1,2016,2014,2,1,0,0,0,0,0
15590606,0.0,2.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0,1,2018,2014,4,1,0,0,0,0,0
11683906,0.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,18.0,0,1,2015,2014,1,1,0,0,0,0,0
13515506,0.0,0.0,0.0,0.0,2.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0,1,2016,2014,2,1,1,0,0,0,0
15590806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0,1,2018,2014,4,0,1,0,0,0,0
12030306,1.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.5,1.0,1.0,26.0,0,1,2015,2014,1,1,0,0,0,0,0
12990106,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,1.0,2.5,1.0,1.0,29.0,0,1,2016,2014,2,0,0,0,0,0,0
13012606,0.0,3.0,1.0,1.0,2.5,1.0,1.0,0.0,0.0,0.0,2.5,1.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,16.0,0,1,2016,2014,2,1,0,0,0,0,0
14799206,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0,1,2017,2013,4,1,1,0,0,0,0
11696506,0.0,1.5,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.5,1.0,1.0,0.0,0.0,0.0,2.5,1.0,1.0,25.0,0,1,2015,2013,2,1,1,0,0,0,0
11743206,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,2.5,1.0,1.0,19.0,1,0,2015,2013,2,0,-1,0,0,0,0
11716206,0.0,2.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,1.0,1.0,1.5,1.0,1.0,21.0,0,1,2015,2014,1,1,0,0,0,0,0
11681506,0.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,15.0,0,1,2015,2014,1,1,0,0,0,0,0
11728106,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,22.0,0,1,2015,2014,1,1,0,0,0,0,0
11690606,0.0,4.0,1.0,1.0,3.0,1.0,1.0,2.5,1.0,1.0,4.0,1.0,1.0,1.5,1.0,1.0,4.0,1.0,1.0,15.0,0,1,2015,2014,1,1,0,0,0,0,0
14257206,0.0,2.5,1.0,1.0,2.5,1.0,1.0,1.5,1.0,1.0,0.0,0.0,0.0,2.5,1.0,1.0,0.0,0.0,0.0,19.0,0,1,2017,2014,3,1,0,0,0,0,0
11742906,1.0,3.0,1.0,1.0,2.5,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,2.5,1.0,1.0,25.0,0,0,2015,2013,2,0,-1,0,0,0,0
11689406,0.0,4.0,1.0,1.0,3.0,1.0,1.0,1.5,1.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,16.0,0,0,2015,2014,1,0,-1,0,0,0,0
11729006,0.0,2.5,1.0,1.0,2.5,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,19.0,0,1,2015,2014,1,1,0,0,0,0,0
17925906,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0,0,2020,2012,8,1,-1,0,0,1,1
14292406,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0,1,2017,2014,3,1,0,0,0,0,0
12032806,1.0,1.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.0,1.5,1.0,1.0,2.0,1.0,1.0,28.0,0,1,2015,2014,1,1,0,0,0,0,0
14319606,0.0,2.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0,1,2017,2014,3,1,0,0,0,0,0
