studium_id,BI-PA1,BI-PAI,BI-CAO,BI-PS1,BI-MLO,BI-ZMA,BI-PA2,BI-DBS,BI-SAP,BI-LIN,BI-AG1,BI-AAG,BI-ZDM,BI-OSY,BI-PSI,BI-BEZ,BI-PST,BI-DPR,BI-SI1.2,BI-EMP,prumer
14321606,3.0,2.0,1.0,3.0,2.5,1.5,3.0,2.5,2.5,1.5,2.0,2.0,2.5,2.5,2.0,2.0,2.5,1.0,1.0,1.0,2.05
14798406,2.0,3.0,1.5,2.5,2.0,1.5,1.5,2.0,1.0,2.0,3.0,1.5,3.0,2.5,3.0,2.5,2.5,1.5,1.5,1.5,2.075
15576006,1.0,2.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.225
16722206,,,,1.0,2.0,,,,,,3.0,2.0,2.0,2.5,,,1.5,1.5,,1.0,1.8333333333333333
14800106,1.5,2.0,1.0,1.0,2.0,1.5,1.0,2.5,1.0,2.0,1.0,1.5,2.0,1.0,2.0,1.5,1.0,1.5,1.5,1.0,1.475
15595506,1.5,3.0,1.0,1.5,1.5,1.0,1.0,1.0,2.5,1.5,1.0,2.0,2.0,1.0,1.5,1.5,1.0,1.5,1.0,1.5,1.475
16731806,,,,,,,,,,,2.5,,,3.0,,,2.5,1.5,,,2.375
16719406,,,,1.0,,2.0,1.5,2.0,,,3.0,1.5,,1.5,,,2.5,1.5,2.5,1.0,1.8181818181818181
15594906,2.5,3.0,1.0,2.0,1.5,1.5,2.0,1.5,2.0,2.0,2.5,2.0,2.5,3.0,2.5,1.5,2.0,1.0,2.0,1.5,1.975
15615906,2.5,2.5,1.0,2.0,1.5,1.5,1.0,1.0,1.0,1.5,1.5,1.0,1.5,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.375
15571706,1.5,1.5,1.0,1.0,1.5,1.5,1.5,1.5,2.0,2.5,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.5,1.0,1.45
14268906,2.5,2.5,1.5,2.5,2.0,2.5,2.0,2.5,1.0,2.0,2.5,3.0,2.0,3.0,2.5,2.5,3.0,1.5,2.0,1.0,2.2
14318606,2.5,2.0,3.0,2.5,3.0,2.5,2.5,3.0,1.0,2.5,2.0,2.5,2.5,2.5,2.0,2.0,2.5,2.5,2.5,2.0,2.375
14311306,2.0,3.0,2.5,3.0,2.0,2.5,2.5,2.0,3.0,2.5,3.0,1.5,2.5,2.5,3.0,3.0,2.5,1.0,2.0,2.5,2.425
15564406,1.5,1.5,1.0,1.5,1.0,1.5,1.5,1.0,1.0,1.5,1.0,1.5,1.5,1.0,2.0,1.0,1.0,1.5,2.0,1.5,1.35
15575606,3.0,2.0,1.0,2.5,2.5,1.5,2.5,2.0,2.0,1.5,2.5,2.5,2.0,2.5,3.0,1.5,2.0,1.5,2.0,1.0,2.05
14254806,2.5,2.5,1.0,2.5,2.0,1.0,2.5,1.0,1.0,2.0,1.5,2.0,2.0,2.5,2.0,1.5,1.5,1.0,1.5,1.5,1.75
15603106,2.5,1.5,1.5,2.5,1.5,2.0,2.0,1.5,1.0,3.0,2.5,1.5,2.0,2.5,1.5,1.5,1.5,1.0,1.5,1.0,1.775
16732706,1.0,2.0,,2.5,,2.0,,,,1.5,,1.5,2.0,3.0,1.5,,2.0,,4.0,,2.090909090909091
16733606,,3.0,,1.5,,,,,,2.5,2.5,1.5,2.5,2.5,,2.5,2.5,2.5,2.0,2.0,2.2916666666666665
16739506,2.5,1.5,1.0,2.0,2.0,2.5,2.5,2.0,1.5,4.0,2.5,2.0,4.0,,4.0,,,,4.0,2.0,2.5
16712006,4.0,1.5,1.5,3.0,2.0,2.5,4.0,2.0,4.0,3.0,4.0,4.0,4.0,,4.0,4.0,,,,4.0,3.21875
17913406,,1.5,1.0,3.0,2.0,4.0,4.0,2.0,2.0,4.0,,,,,,,,,,,2.611111111111111
16744106,,,,,,2.5,2.0,,,3.0,4.0,,2.5,,,1.5,,,1.5,,2.4285714285714284
17902306,4.0,1.5,1.5,4.0,2.0,2.5,,4.0,4.0,4.0,,,,,,,,,,,3.0555555555555554
16735506,4.0,3.0,1.5,2.0,2.0,2.0,,2.0,2.5,2.0,4.0,2.0,2.5,,3.0,2.5,4.0,,4.0,1.5,2.6176470588235294
17938606,,2.0,3.0,2.5,2.5,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.3333333333333335
18586906,3.0,3.0,1.0,3.0,2.0,4.0,4.0,1.5,1.0,3.0,,4.0,4.0,,,,,,,,2.7916666666666665
17901706,2.5,1.0,1.0,2.0,2.0,2.5,2.5,1.5,1.5,,4.0,4.0,4.0,,,,,,,1.5,2.3076923076923075
18581906,3.0,,,,,,,2.0,,,4.0,,4.0,4.0,4.0,2.5,2.5,,4.0,,3.3333333333333335
18593706,2.0,1.5,1.0,2.5,2.5,2.0,2.0,2.0,2.0,2.5,4.0,4.0,4.0,,,,,,,4.0,2.5714285714285716
17950906,,1.5,1.0,4.0,,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.3125
17919606,4.0,3.0,1.5,2.5,4.0,4.0,4.0,2.5,4.0,4.0,,,,,,,,,,,3.35
17902706,1.5,1.5,1.0,1.5,1.5,2.0,1.5,1.0,1.0,2.0,4.0,4.0,4.0,,,,,,,,2.0384615384615383
17920606,3.0,1.5,1.0,2.5,4.0,4.0,4.0,4.0,3.0,4.0,,,,,,,,,,,3.1
16728106,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,,1.5,4.0,1.5789473684210527
17903406,4.0,1.5,1.0,1.5,2.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,2.888888888888889
17914906,,1.5,1.0,3.0,4.0,4.0,4.0,2.5,4.0,4.0,,,,,,,,,,,3.111111111111111
19319306,,,,,,,,,,,4.0,,,,,,4.0,,,,4.0
19319006,,,,,,,,,,,,,,,,,,,,,
19318906,,,,,,4.0,,,,,4.0,,,,,,,,,,4.0
19321506,,,,,,,,,,,4.0,4.0,,,,,4.0,,,4.0,4.0
