studium_id,BI-PA1,BI-PAI,BI-CAO,BI-PS1,BI-MLO,BI-ZMA,BI-PA2,BI-DBS,BI-SAP,BI-LIN,BI-AG1,BI-AAG,BI-ZDM,BI-OSY,BI-PSI,BI-BEZ,BI-PST,BI-DPR,BI-SI1.2,BI-EMP
18599406,4.0,2.5,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,
16747206,,3.0,,,1.5,,,,,,3.0,2.0,2.5,2.5,,1.5,2.0,1.5,3.0,
16722406,3.0,2.5,1.5,3.0,2.0,2.5,4.0,1.5,1.5,4.0,,4.0,,,,4.0,,,,1.0
14277706,2.0,2.5,1.0,1.5,2.5,1.5,2.5,1.5,1.0,2.5,2.5,1.5,4.0,3.0,2.0,2.0,2.5,4.0,2.0,1.5
17938806,2.5,2.5,1.0,2.0,4.0,2.0,3.0,2.0,1.5,3.0,4.0,4.0,4.0,,,,,,,4.0
17905206,4.0,1.5,1.0,2.0,2.5,4.0,3.0,1.5,2.0,4.0,,4.0,4.0,,,,,,,
18593406,4.0,1.5,1.0,2.5,2.5,4.0,4.0,2.5,2.5,4.0,4.0,4.0,4.0,,,,,,,
15564006,2.5,2.5,1.5,2.0,2.5,2.5,1.5,1.5,1.0,2.5,3.0,1.5,2.5,2.5,2.5,1.5,1.5,1.5,1.0,1.5
17908106,,2.0,,3.0,,,1.5,,3.0,,,,,3.0,,,3.0,,2.5,
18599906,4.0,3.0,1.5,4.0,2.5,4.0,,4.0,4.0,4.0,,,,,,,,,,
17916606,4.0,1.0,1.0,2.0,1.5,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,,,,,,,
17936806,4.0,1.5,1.0,2.0,1.0,1.5,,2.0,1.5,3.0,4.0,4.0,4.0,,,,,,,
16750806,4.0,2.5,1.0,3.0,2.0,2.5,4.0,3.0,4.0,4.0,,,4.0,4.0,4.0,4.0,,,,
16716506,2.0,3.0,1.0,2.0,2.0,1.5,1.5,2.0,3.0,2.5,4.0,4.0,2.5,,2.5,2.5,,,4.0,
17901606,,2.0,,2.5,2.5,,,,,,,,,,2.5,,,1.5,2.0,
17333906,2.0,,,1.5,,,2.0,,,2.5,2.5,,,2.5,3.0,2.5,1.0,1.5,,
17929406,,1.5,1.0,2.5,4.0,4.0,4.0,2.5,2.5,4.0,,,,,,,,,,
16749306,2.5,3.0,,2.0,,,1.5,,,2.5,2.5,2.5,2.0,2.5,2.5,2.0,3.0,1.5,1.5,
17335306,2.0,1.5,1.5,1.0,1.0,2.5,2.5,3.0,,4.0,4.0,4.0,4.0,2.5,2.5,,,,,
17929006,2.0,1.5,3.0,2.0,2.5,2.0,2.5,2.0,2.5,3.0,4.0,4.0,4.0,,,,,,,
16729606,3.0,2.5,1.5,3.0,1.5,2.5,4.0,2.5,3.0,4.0,,,4.0,4.0,4.0,4.0,,,,4.0
14256806,3.0,2.5,1.0,2.5,2.0,2.5,1.5,3.0,3.0,2.5,2.5,1.5,2.5,2.5,2.5,2.5,1.5,1.0,2.0,2.0
17929906,4.0,1.0,1.0,2.0,2.5,4.0,,4.0,4.0,4.0,,,,,,,,,,4.0
18604006,4.0,1.0,1.5,3.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,
15569206,2.5,2.0,1.0,2.0,1.5,1.5,1.0,1.0,1.5,2.0,3.0,2.0,1.5,2.5,,2.0,1.0,,4.0,1.0
17911406,4.0,1.5,1.5,2.5,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,
16736106,3.0,,,3.0,,2.5,4.0,,,2.5,4.0,2.5,4.0,,4.0,,,,,
18588006,3.0,2.0,1.0,2.0,2.5,4.0,4.0,2.5,2.0,4.0,4.0,4.0,4.0,,,,,,,
16758406,3.0,2.0,1.0,1.0,2.0,4.0,4.0,1.5,4.0,4.0,4.0,4.0,4.0,,,,,,,
17918706,,1.5,,,,,,4.0,,,4.0,,,,4.0,4.0,,,,
14274006,3.0,2.5,1.0,2.5,2.5,2.0,2.5,2.0,2.5,3.0,3.0,2.5,2.0,2.5,3.0,1.5,2.5,1.0,1.5,1.0
15556306,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,2.5,2.5,1.5,2.0,,2.0,2.0,1.5,4.0,2.0,1.5
14256106,3.0,2.0,1.0,2.5,2.0,2.5,1.5,2.0,2.5,2.5,2.5,2.5,3.0,2.5,3.0,3.0,2.0,1.0,2.0,2.0
14307306,3.0,2.5,1.0,2.0,2.0,1.5,3.0,2.0,1.0,2.0,2.5,2.0,2.5,2.0,2.0,2.5,2.5,2.5,2.5,1.5
17923006,2.5,1.0,1.0,2.0,2.0,4.0,2.5,1.5,1.0,4.0,4.0,4.0,,,,,,,,
17938906,4.0,2.0,1.0,3.0,1.5,4.0,,4.0,4.0,4.0,,,,,4.0,,,,,
17935706,2.5,1.5,1.0,3.0,2.0,2.0,2.0,1.5,1.5,3.0,4.0,4.0,4.0,,,,,,,4.0
18589306,,1.0,1.5,3.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,
17327206,2.5,2.5,1.0,1.5,2.5,1.5,1.5,2.0,1.0,2.5,4.0,,4.0,3.0,4.0,4.0,,,,
16772706,2.5,2.0,1.0,1.5,2.0,2.5,2.0,2.0,3.0,4.0,4.0,4.0,4.0,,2.5,2.5,,,2.5,1.0
17950006,4.0,2.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,,,,,,,,,,
15592406,1.5,2.0,1.0,1.5,1.5,1.5,2.0,1.5,2.0,2.0,2.0,1.5,2.0,2.5,2.0,1.0,1.5,1.0,2.0,1.0
18596506,3.0,2.5,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,
15578706,1.5,2.0,1.0,1.5,1.0,1.5,1.0,1.0,1.0,2.0,1.5,2.0,2.0,1.0,2.5,1.5,1.0,1.5,1.5,1.5
17935606,4.0,2.0,1.0,2.0,2.5,2.0,4.0,1.5,1.5,3.0,4.0,4.0,4.0,,,,4.0,,,
16730806,2.5,1.5,1.0,2.0,2.5,2.0,1.5,1.5,2.5,,4.0,1.5,1.5,,3.0,2.0,4.0,,2.5,1.5
18597806,4.0,1.0,1.5,2.5,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,
17942906,2.0,1.5,1.0,2.5,2.0,4.0,4.0,1.5,1.0,4.0,4.0,4.0,4.0,,,,,,,
17931006,4.0,2.5,3.0,2.0,4.0,4.0,4.0,4.0,1.5,4.0,,,,,,,,,,
16728606,3.0,2.0,1.0,1.5,1.5,2.0,2.5,2.0,2.5,,4.0,4.0,4.0,2.5,4.0,4.0,,,,1.5
16766206,1.5,,,,,2.0,1.0,1.0,1.0,2.0,2.5,3.0,4.0,2.5,1.0,1.5,4.0,,4.0,4.0
16754006,4.0,2.5,2.5,3.0,2.5,4.0,4.0,2.5,2.5,2.5,,2.5,4.0,4.0,,4.0,,,4.0,
16719906,4.0,1.5,1.5,3.0,2.5,2.0,4.0,2.0,3.0,2.5,4.0,4.0,4.0,,4.0,4.0,,,,
16772806,,,,1.0,,,,1.0,,2.5,,,2.0,2.0,,,2.5,2.5,2.0,
