studium_id,dokoncil_semestr,BI-PA1_znamka,BI-PA1_poradi_zapisu,BI-PA1_semestr,BI-PAI_znamka,BI-PAI_poradi_zapisu,BI-PAI_semestr,BI-CAO_znamka,BI-CAO_poradi_zapisu,BI-CAO_semestr,BI-PS1_znamka,BI-PS1_poradi_zapisu,BI-PS1_semestr,BI-MLO_znamka,BI-MLO_poradi_zapisu,BI-MLO_semestr,BI-ZMA_znamka,BI-ZMA_poradi_zapisu,BI-ZMA_semestr,pocet_kreditu_semestr_1,BI-PA2_znamka,BI-PA2_semestr,BI-PA2_poradi_zapisu,BI-DBS_znamka,BI-DBS_semestr,BI-DBS_poradi_zapisu,BI-SAP_znamka,BI-SAP_semestr,BI-SAP_poradi_zapisu,BI-LIN_znamka,BI-LIN_semestr,BI-LIN_poradi_zapisu,pocet_kreditu_semestr_2,pohlavi_kod,je_cech,datum_zahajeni,rok_maturity,maturita_nastup_rozdil,gymnazium,praha,scio,olym,zkouska,prominuti
11740406,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,1.0,1.0,19.0,3.0,1.0,1.0,0.0,0.0,0.0,2.5,1.0,1.0,0.0,0.0,0.0,25.0,0,1,2015,2013,2,1,1,0,0,0,0
12991006,1.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,15.0,0,0,2016,2012,4,0,2,0,0,0,0
11727606,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,30.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,11.0,0,1,2015,2013,2,0,1,0,0,0,0
11697206,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.5,1.0,1.0,29.0,1.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,1.0,33.0,0,1,2015,2013,2,0,0,0,0,0,0
11713806,1.0,1.5,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,1.0,1.0,1.0,2.0,1.0,1.0,2.5,1.0,1.0,1.5,1.0,1.0,26.0,0,1,2015,2012,3,1,1,0,0,0,0
14277206,1.0,3.0,1.0,1.0,2.5,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,1.0,1.0,2.5,1.0,1.0,3.0,1.0,1.0,2.5,1.0,1.0,19.0,0,1,2017,2013,4,1,0,0,0,0,0
11681906,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.5,1.0,1.0,4.0,1.0,1.0,2.5,1.0,1.0,2.5,1.0,1.0,25.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,16.0,0,1,2015,2013,2,1,0,0,0,0,0
11681606,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,2.5,1.0,1.0,31.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,23.0,0,1,2015,2013,2,0,0,0,0,0,0
11696006,1.0,2.5,1.0,1.0,3.0,1.0,1.0,1.5,1.0,1.0,2.5,2.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,20.0,4.0,1.0,1.0,2.5,1.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,21.0,0,1,2015,2013,2,1,0,0,0,0,0
12954406,1.0,0.0,0.0,0.0,2.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,13.0,0,1,2016,2012,4,1,0,0,0,0,0
11680506,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,16.0,0,1,2015,2013,2,1,0,0,0,0,0
12974306,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0,1,2016,2013,3,1,1,0,0,0,0
11710206,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,1.0,0.0,0.0,0.0,2.5,1.0,1.0,28.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.5,1.0,1.0,33.0,0,1,2015,2013,2,0,1,0,0,0,0
12031806,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,1.0,21.0,2.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,26.0,0,1,2015,2013,2,1,0,0,0,0,0
11712806,1.0,2.5,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,30.0,0,1,2015,2013,2,0,1,0,0,0,0
11685106,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,30.0,4.0,1.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,2.5,1.0,1.0,23.0,0,1,2015,2013,2,1,1,0,0,0,0
11699506,1.0,0.0,0.0,0.0,2.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.0,2.0,1.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,14.0,0,1,2015,2013,2,0,0,0,0,0,0
13520206,1.0,2.5,1.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,30.0,4.0,1.0,1.0,2.5,1.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,12.0,0,1,2016,2013,3,1,0,0,0,0,0
11695006,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.5,1.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,16.0,0,1,2015,2013,2,0,0,0,0,0,0
