studium_id,pohlavi_kod,je_cech,datum_zahajeni,rok_maturity,maturita_nastup_rozdil,gymnazium,praha,scio,olym,zkouska,prominuti,dostudoval_uspesne,BI-PA1,BI-PAI,BI-CAO,BI-PS1,BI-MLO,BI-ZMA,BI-PA2,BI-DBS,BI-SAP,BI-LIN,BI-AG1,BI-AAG,BI-ZDM,BI-OSY,BI-PSI,BI-BEZ,BI-PST,BI-DPR,BI-SI1.2,BI-EMP
12970106,0,1,2016,2013,3,0,0,0,0,0,0,0,1.0,2.5,1.0,2.0,2.5,4.0,2.5,2.0,1.0,,4.0,4.0,,1.5,2.0,,4.0,,2.5,
13513306,0,1,2016,2013,3,1,0,0,0,0,0,0,2.0,4.0,1.0,4.0,2.0,2.5,,,,,,,4.0,,,,,,,4.0
11704806,0,1,2015,2013,2,1,0,0,0,0,0,1,2.0,1.5,1.0,3.0,2.5,2.0,2.5,2.0,2.0,2.5,,2.0,2.0,2.5,1.0,3.0,4.0,1.5,2.0,1.0
11697206,0,1,2015,2013,2,0,0,0,0,0,0,1,1.5,3.0,1.0,2.0,1.0,1.5,1.5,2.0,1.5,2.5,,2.5,2.0,3.0,2.0,3.0,2.5,1.0,2.0,1.0
17923906,0,1,2020,2012,8,1,1,0,0,1,0,0,1.5,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.5,1.5,1.5,2.5,1.0,1.0,2.0,1.5,1.5,4.0,2.0,1.5
11713806,0,1,2015,2012,3,1,1,0,0,0,0,0,1.5,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.5,1.5,1.5,2.5,1.0,1.0,2.0,1.5,1.5,4.0,2.0,1.5
11706306,0,1,2015,2013,2,1,0,0,0,0,0,1,2.0,2.0,1.5,2.5,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.5,2.5,1.0,2.0,1.5
11681906,0,1,2015,2013,2,1,0,0,0,0,0,0,3.0,3.0,1.5,3.0,2.5,2.5,4.0,3.0,3.0,4.0,2.5,4.0,4.0,4.0,4.0,4.0,,,4.0,2.0
14277206,0,1,2017,2013,4,1,0,0,0,0,0,1,3.0,2.5,1.5,3.0,2.5,2.5,2.0,2.5,3.0,2.5,2.5,2.5,3.0,2.5,3.0,2.5,3.0,2.5,3.0,2.0
11730206,0,1,2015,2013,2,1,0,0,0,0,0,1,3.0,2.5,1.5,2.5,1.0,2.5,1.5,2.5,2.5,3.0,,2.0,2.5,2.0,2.5,3.0,3.0,2.5,3.0,1.5
11681606,0,1,2015,2013,2,0,0,0,0,0,0,1,3.0,2.0,1.0,3.0,2.0,2.5,3.0,2.5,1.0,3.0,2.0,2.5,2.0,2.5,2.5,2.5,1.5,2.0,2.0,1.5
11693506,0,1,2015,2013,2,1,0,0,0,0,0,1,2.5,2.0,1.0,2.0,2.0,2.0,2.0,2.5,1.5,3.0,,1.5,1.5,3.0,2.5,2.0,2.0,1.0,2.0,1.5
12956806,0,1,2016,2013,3,1,0,0,0,0,0,0,1.5,2.5,1.0,2.0,2.0,2.5,4.0,2.0,2.5,2.0,,4.0,4.0,4.0,2.5,2.5,,,1.5,
11691806,0,1,2015,2013,2,0,0,0,0,0,0,1,1.5,2.0,1.5,2.5,2.0,2.5,3.0,3.0,2.5,2.5,,3.0,2.0,2.0,2.5,2.5,3.0,1.0,2.0,2.0
11696006,0,1,2015,2013,2,1,0,0,0,0,0,0,2.5,3.0,1.5,2.5,1.5,3.0,4.0,2.5,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,3.0,4.0
14805706,0,1,2017,2013,4,0,0,0,0,0,0,1,2.0,2.0,1.5,2.0,2.5,2.5,2.5,2.5,2.5,3.0,3.0,2.5,2.5,3.0,2.5,2.5,3.0,2.0,2.0,1.5
